seconds cpu user nice system idle iowait irq softirq steal guest guest_nice
1682315047.302969 cpu  2172 1 2072 84149 1772 0 4 0 0 0
1682315047.402733 cpu  2172 1 2074 84178 1780 0 4 0 0 0
1682315047.502773 cpu  2172 1 2076 84208 1788 0 4 0 0 0
1682315047.602736 cpu  2179 1 2078 84238 1789 0 4 0 0 0
1682315047.702859 cpu  2187 1 2079 84268 1790 0 4 0 0 0
1682315047.802949 cpu  2209 1 2082 84283 1790 0 4 0 0 0
1682315047.903128 cpu  2224 1 2086 84302 1790 0 4 0 0 0
1682315048.003259 cpu  2230 1 2088 84327 1797 0 4 0 0 0
1682315048.103362 cpu  2230 1 2091 84357 1805 0 4 0 0 0
1682315048.203469 cpu  2230 1 2093 84387 1813 0 4 0 0 0
1682315048.303513 cpu  2230 1 2094 84417 1821 0 4 0 0 0
1682315048.403626 cpu  2230 1 2097 84447 1829 0 4 0 0 0
1682315048.503743 cpu  2230 1 2099 84477 1838 0 4 0 0 0
1682315048.603856 cpu  2233 1 2100 84505 1844 0 4 0 0 0
1682315048.703984 cpu  2238 1 2104 84535 1845 0 4 0 0 0
1682315048.804194 cpu  2269 1 2109 84539 1845 0 4 0 0 0
1682315048.904470 cpu  2295 1 2115 84547 1845 0 4 0 0 0
1682315049.004571 cpu  2325 1 2119 84553 1845 0 4 0 0 0
1682315049.104706 cpu  2361 1 2122 84553 1845 0 4 0 0 0
1682315049.204860 cpu  2390 1 2129 84559 1845 0 4 0 0 0
1682315049.305187 cpu  2412 1 2132 84573 1845 0 4 0 0 0
1682315049.405180 cpu  2437 1 2133 84587 1845 0 4 0 0 0
1682315049.505245 cpu  2447 1 2133 84617 1845 0 4 0 0 0
1682315049.605454 cpu  2457 1 2134 84645 1845 0 4 0 0 0
1682315049.705583 cpu  2480 1 2138 84658 1845 0 4 0 0 0
1682315049.806127 cpu  2516 1 2142 84659 1845 0 4 0 0 0
1682315049.906066 cpu  2556 1 2142 84659 1845 0 4 0 0 0
1682315050.006100 cpu  2586 1 2144 84666 1845 0 4 0 0 0
1682315050.106254 cpu  2596 1 2144 84696 1845 0 4 0 0 0
1682315050.206421 cpu  2608 1 2144 84725 1845 0 4 0 0 0
1682315050.306672 cpu  2636 1 2150 84732 1845 0 4 0 0 0
1682315050.406779 cpu  2676 1 2150 84732 1845 0 4 0 0 0
1682315050.507135 cpu  2714 1 2152 84732 1845 0 4 0 0 0
1682315050.607004 cpu  2739 1 2154 84745 1845 0 4 0 0 0
1682315050.707065 cpu  2749 1 2154 84775 1845 0 4 0 0 0
1682315050.807602 cpu  2760 1 2155 84803 1845 0 4 0 0 0
1682315050.907992 cpu  2792 1 2159 84807 1845 0 4 0 0 0
1682315051.008001 cpu  2832 1 2159 84807 1845 0 4 0 0 0
1682315051.108094 cpu  2871 1 2160 84807 1845 0 4 0 0 0
1682315051.208085 cpu  2893 1 2161 84825 1845 0 4 0 0 0
1682315051.308214 cpu  2903 1 2161 84855 1845 0 4 0 0 0
1682315051.408485 cpu  2918 1 2164 84876 1845 0 4 0 0 0
1682315051.508655 cpu  2942 1 2169 84886 1845 0 4 0 0 0
1682315051.608663 cpu  2979 1 2172 84886 1845 0 4 0 0 0
1682315051.709112 cpu  3017 1 2174 84886 1845 0 4 0 0 0
1682315051.808965 cpu  3042 1 2174 84901 1845 0 4 0 0 0
1682315051.909024 cpu  3052 1 2174 84931 1845 0 4 0 0 0
1682315052.009409 cpu  3065 1 2176 84955 1845 0 4 0 0 0
1682315052.109536 cpu  3100 1 2178 84957 1845 0 4 0 0 0
1682315052.209947 cpu  3141 1 2179 84957 1845 0 4 0 0 0
1682315052.309955 cpu  3177 1 2183 84957 1845 0 4 0 0 0
1682315052.409968 cpu  3194 1 2184 84978 1845 0 4 0 0 0
1682315052.510035 cpu  3204 1 2184 85008 1845 0 4 0 0 0
1682315052.610169 cpu  3224 1 2187 85026 1846 0 4 0 0 0
1682315052.710741 cpu  3263 1 2187 85027 1846 0 4 0 0 0
1682315052.810600 cpu  3303 1 2187 85027 1846 0 4 0 0 0
1682315052.910606 cpu  3338 1 2189 85028 1846 0 4 0 0 0
1682315053.010747 cpu  3348 1 2189 85058 1846 0 4 0 0 0
1682315053.110826 cpu  3359 1 2189 85088 1846 0 4 0 0 0
1682315053.211246 cpu  3384 1 2195 85097 1846 0 4 0 0 0
1682315053.311625 cpu  3420 1 2198 85098 1846 0 4 0 0 0
1682315053.411631 cpu  3449 1 2202 85105 1846 0 4 0 0 0
1682315053.511765 cpu  3487 1 2205 85105 1846 0 4 0 0 0
1682315053.611751 cpu  3497 1 2206 85133 1846 0 4 0 0 0
1682315053.711906 cpu  3507 1 2206 85163 1846 0 4 0 0 0
1682315053.812124 cpu  3528 1 2208 85178 1846 0 4 0 0 0
1682315053.912522 cpu  3568 1 2209 85178 1846 0 4 0 0 0
1682315054.012508 cpu  3604 1 2212 85178 1846 0 4 0 0 0
1682315054.112532 cpu  3638 1 2214 85183 1846 0 4 0 0 0
1682315054.212600 cpu  3648 1 2214 85213 1846 0 4 0 0 0
1682315054.313070 cpu  3659 1 2214 85243 1846 0 4 0 0 0
1682315054.413384 cpu  3688 1 2217 85249 1846 0 4 0 0 0
1682315054.513246 cpu  3726 1 2219 85249 1846 0 4 0 0 0
1682315054.613608 cpu  3766 1 2219 85249 1846 0 4 0 0 0
1682315054.713503 cpu  3792 1 2221 85262 1846 0 4 0 0 0
1682315054.813567 cpu  3802 1 2221 85292 1846 0 4 0 0 0
1682315054.914513 cpu  3816 1 2222 85317 1846 0 4 0 0 0
1682315055.013984 cpu  3850 1 2224 85321 1846 0 4 0 0 0
1682315055.114054 cpu  3890 1 2224 85321 1846 0 4 0 0 0
1682315055.214465 cpu  3929 1 2225 85321 1846 0 4 0 0 0
1682315055.314339 cpu  3949 1 2225 85341 1846 0 4 0 0 0
1682315055.414410 cpu  3959 1 2225 85371 1846 0 4 0 0 0
1682315055.514683 cpu  3978 1 2226 85390 1846 0 4 0 0 0
1682315055.614913 cpu  4011 1 2230 85392 1846 0 4 0 0 0
1682315055.714930 cpu  4047 1 2234 85393 1846 0 4 0 0 0
1682315055.815623 cpu  4084 1 2237 85393 1846 0 4 0 0 0
1682315055.915189 cpu  4100 1 2237 85416 1846 0 4 0 0 0
1682315056.015261 cpu  4110 1 2237 85446 1846 0 4 0 0 0
1682315056.115575 cpu  4130 1 2239 85463 1846 0 4 0 0 0
1682315056.215886 cpu  4166 1 2243 85463 1846 0 4 0 0 0
1682315056.316002 cpu  4206 1 2243 85463 1846 0 4 0 0 0
1682315056.415955 cpu  4244 1 2244 85464 1846 0 4 0 0 0
1682315056.516042 cpu  4254 1 2244 85494 1846 0 4 0 0 0
1682315056.616105 cpu  4264 1 2244 85524 1846 0 4 0 0 0
1682315056.716948 cpu  4288 1 2246 85537 1846 0 4 0 0 0
1682315056.817002 cpu  4328 1 2246 85537 1846 0 4 0 0 0
1682315056.917001 cpu  4367 1 2246 85537 1846 0 4 0 0 0
1682315057.017060 cpu  4396 1 2248 85546 1846 0 4 0 0 0
1682315057.117125 cpu  4406 1 2248 85576 1846 0 4 0 0 0
1682315057.217530 cpu  4418 1 2248 85604 1846 0 4 0 0 0
1682315057.317475 cpu  4452 1 2251 85607 1846 0 4 0 0 0
1682315057.417745 cpu  4492 1 2252 85607 1846 0 4 0 0 0
1682315057.518107 cpu  4531 1 2254 85607 1846 0 4 0 0 0
1682315057.617990 cpu  4552 1 2254 85625 1846 0 4 0 0 0
1682315057.718038 cpu  4562 1 2254 85655 1846 0 4 0 0 0
1682315057.818233 cpu  4580 1 2255 85676 1846 0 4 0 0 0
1682315057.918631 cpu  4610 1 2260 85681 1846 0 4 0 0 0
1682315058.018811 cpu  4650 1 2261 85681 1846 0 4 0 0 0
1682315058.119048 cpu  4688 1 2263 85681 1846 0 4 0 0 0
1682315058.218879 cpu  4706 1 2264 85701 1846 0 4 0 0 0
1682315058.318944 cpu  4716 1 2264 85731 1846 0 4 0 0 0
1682315058.419139 cpu  4737 1 2265 85750 1846 0 4 0 0 0
1682315058.519610 cpu  4773 1 2268 85751 1846 0 4 0 0 0
1682315058.619801 cpu  4809 1 2272 85751 1846 0 4 0 0 0
