seconds cpu user nice system idle iowait irq softirq steal guest guest_nice
1682317279.894412 cpu  71034 32 16392 628449 1860 0 642 0 0 0
1682317279.993947 cpu  71035 32 16394 628484 1862 0 642 0 0 0
1682317280.094033 cpu  71044 32 16395 628513 1862 0 642 0 0 0
1682317280.194135 cpu  71053 32 16397 628542 1862 0 642 0 0 0
1682317280.294327 cpu  71074 32 16400 628558 1862 0 642 0 0 0
1682317280.394430 cpu  71092 32 16406 628573 1862 0 642 0 0 0
1682317280.494699 cpu  71101 32 16412 628598 1862 0 642 0 0 0
1682317280.594789 cpu  71108 32 16418 628625 1862 0 642 0 0 0
1682317280.694854 cpu  71118 32 16421 628651 1862 0 642 0 0 0
1682317280.795036 cpu  71126 32 16426 628678 1862 0 642 0 0 0
1682317280.894989 cpu  71128 32 16428 628715 1862 0 642 0 0 0
1682317280.995061 cpu  71128 32 16430 628753 1862 0 642 0 0 0
1682317281.095180 cpu  71128 32 16430 628792 1862 0 642 0 0 0
1682317281.195236 cpu  71128 32 16430 628832 1862 0 642 0 0 0
1682317281.295308 cpu  71128 32 16430 628872 1862 0 642 0 0 0
1682317281.395385 cpu  71128 32 16430 628912 1862 0 642 0 0 0
1682317281.495456 cpu  71128 32 16430 628952 1862 0 642 0 0 0
1682317281.595528 cpu  71128 32 16430 628992 1862 0 642 0 0 0
1682317281.695602 cpu  71128 32 16430 629032 1862 0 642 0 0 0
1682317281.795678 cpu  71128 32 16430 629072 1862 0 642 0 0 0
1682317281.895752 cpu  71128 32 16430 629112 1862 0 642 0 0 0
1682317281.995849 cpu  71128 32 16431 629152 1862 0 642 0 0 0
1682317282.095915 cpu  71128 32 16431 629192 1862 0 642 0 0 0
1682317282.195987 cpu  71128 32 16431 629232 1862 0 642 0 0 0
1682317282.296057 cpu  71128 32 16431 629272 1862 0 642 0 0 0
1682317282.396346 cpu  71140 32 16437 629293 1862 0 642 0 0 0
1682317282.496370 cpu  71152 32 16440 629318 1862 0 642 0 0 0
1682317282.596607 cpu  71163 32 16444 629343 1862 0 642 0 0 0
1682317282.696517 cpu  71167 32 16446 629377 1862 0 642 0 0 0
1682317282.796596 cpu  71167 32 16446 629415 1862 0 643 0 0 0
1682317282.896675 cpu  71167 32 16447 629454 1862 0 644 0 0 0
1682317282.996983 cpu  71176 32 16450 629483 1862 0 644 0 0 0
1682317283.097142 cpu  71188 32 16452 629508 1862 0 644 0 0 0
1682317283.197351 cpu  71200 32 16455 629534 1862 0 644 0 0 0
1682317283.297341 cpu  71207 32 16458 629563 1862 0 644 0 0 0
1682317283.397428 cpu  71207 32 16458 629601 1862 0 644 0 0 0
1682317283.497597 cpu  71207 32 16458 629640 1862 0 644 0 0 0
1682317283.597925 cpu  71224 32 16461 629659 1862 0 644 0 0 0
1682317283.698068 cpu  71235 32 16464 629685 1862 0 644 0 0 0
1682317283.798395 cpu  71248 32 16468 629709 1862 0 644 0 0 0
1682317283.898510 cpu  71248 32 16470 629747 1862 0 644 0 0 0
1682317283.998573 cpu  71248 32 16470 629786 1862 0 644 0 0 0
1682317284.098885 cpu  71265 32 16476 629802 1862 0 644 0 0 0
1682317284.198969 cpu  71277 32 16478 629828 1862 0 644 0 0 0
1682317284.299304 cpu  71288 32 16482 629854 1862 0 644 0 0 0
1682317284.399315 cpu  71291 32 16483 629889 1862 0 645 0 0 0
1682317284.499383 cpu  71291 32 16483 629928 1862 0 645 0 0 0
1682317284.599673 cpu  71303 32 16485 629953 1862 0 645 0 0 0
1682317284.699888 cpu  71314 32 16487 629980 1862 0 645 0 0 0
1682317284.800006 cpu  71328 32 16488 630005 1862 0 645 0 0 0
1682317284.900003 cpu  71334 32 16490 630036 1862 0 645 0 0 0
1682317285.000110 cpu  71334 32 16490 630075 1862 0 646 0 0 0
1682317285.100374 cpu  71347 32 16490 630101 1862 0 646 0 0 0
1682317285.200547 cpu  71358 32 16493 630127 1862 0 646 0 0 0
1682317285.300637 cpu  71369 32 16496 630153 1862 0 646 0 0 0
1682317285.400671 cpu  71377 32 16498 630182 1862 0 646 0 0 0
1682317285.500666 cpu  71377 32 16498 630220 1862 0 646 0 0 0
1682317285.600868 cpu  71383 32 16502 630249 1862 0 646 0 0 0
1682317285.700967 cpu  71400 32 16505 630269 1862 0 646 0 0 0
1682317285.801083 cpu  71411 32 16507 630295 1862 0 646 0 0 0
1682317285.901139 cpu  71420 32 16510 630323 1862 0 646 0 0 0
1682317286.001248 cpu  71420 32 16512 630361 1862 0 646 0 0 0
1682317286.101897 cpu  71433 32 16514 630386 1862 0 646 0 0 0
1682317286.201823 cpu  71445 32 16518 630412 1862 0 646 0 0 0
1682317286.301922 cpu  71457 32 16522 630437 1862 0 646 0 0 0
1682317286.401895 cpu  71464 32 16524 630468 1862 0 646 0 0 0
1682317286.501975 cpu  71464 32 16526 630506 1862 0 647 0 0 0
1682317286.602384 cpu  71470 32 16527 630538 1862 0 647 0 0 0
1682317286.702405 cpu  71484 32 16530 630561 1862 0 647 0 0 0
1682317286.802823 cpu  71496 32 16531 630587 1862 0 647 0 0 0
1682317286.902628 cpu  71505 32 16534 630616 1862 0 647 0 0 0
1682317287.002713 cpu  71505 32 16536 630654 1862 0 647 0 0 0
1682317287.103051 cpu  71511 32 16536 630687 1862 0 647 0 0 0
1682317287.203440 cpu  71526 32 16539 630710 1862 0 647 0 0 0
1682317287.303397 cpu  71538 32 16540 630736 1862 0 647 0 0 0
1682317287.403399 cpu  71548 32 16542 630765 1862 0 647 0 0 0
1682317287.503503 cpu  71548 32 16542 630803 1862 0 647 0 0 0
1682317287.603852 cpu  71555 32 16542 630835 1862 0 647 0 0 0
1682317287.703974 cpu  71574 32 16545 630854 1862 0 647 0 0 0
1682317287.804188 cpu  71584 32 16548 630880 1862 0 647 0 0 0
1682317287.904030 cpu  71592 32 16550 630909 1862 0 648 0 0 0
1682317288.004131 cpu  71592 32 16551 630947 1862 0 648 0 0 0
1682317288.104792 cpu  71594 32 16552 630985 1862 0 648 0 0 0
1682317288.204829 cpu  71612 32 16554 631004 1862 0 648 0 0 0
1682317288.305471 cpu  71624 32 16555 631031 1862 0 648 0 0 0
1682317288.404894 cpu  71636 32 16559 631055 1862 0 648 0 0 0
1682317288.504969 cpu  71636 32 16560 631094 1862 0 648 0 0 0
1682317288.606091 cpu  71636 32 16560 631133 1862 0 648 0 0 0
1682317288.705696 cpu  71652 32 16564 631153 1862 0 648 0 0 0
1682317288.805974 cpu  71664 32 16565 631179 1862 0 648 0 0 0
1682317288.905669 cpu  71676 32 16569 631204 1862 0 648 0 0 0
1682317289.006533 cpu  71676 32 16570 631243 1862 0 648 0 0 0
1682317289.106297 cpu  71676 32 16571 631282 1862 0 648 0 0 0
1682317289.206609 cpu  71693 32 16574 631302 1863 0 648 0 0 0
1682317289.307172 cpu  71703 32 16578 631328 1863 0 648 0 0 0
1682317289.407015 cpu  71715 32 16581 631354 1863 0 648 0 0 0
1682317289.507001 cpu  71716 32 16583 631391 1863 0 648 0 0 0
1682317289.607065 cpu  71716 32 16583 631431 1863 0 648 0 0 0
1682317289.707154 cpu  71716 32 16583 631470 1863 0 648 0 0 0
1682317289.807231 cpu  71716 32 16583 631510 1863 0 649 0 0 0
1682317289.907314 cpu  71716 32 16583 631549 1863 0 649 0 0 0
1682317290.007393 cpu  71716 32 16583 631589 1863 0 649 0 0 0
1682317290.107473 cpu  71716 32 16584 631627 1863 0 649 0 0 0
1682317290.207928 cpu  71726 32 16584 631657 1863 0 649 0 0 0
1682317290.307978 cpu  71744 32 16587 631678 1863 0 649 0 0 0
1682317290.408374 cpu  71754 32 16591 631704 1863 0 649 0 0 0
1682317290.508137 cpu  71762 32 16593 631733 1863 0 649 0 0 0
1682317290.608210 cpu  71762 32 16594 631773 1863 0 649 0 0 0
1682317290.708298 cpu  71762 32 16594 631813 1863 0 649 0 0 0
1682317290.808350 cpu  71762 32 16594 631853 1863 0 649 0 0 0
1682317290.908422 cpu  71762 32 16594 631893 1863 0 649 0 0 0
1682317291.008505 cpu  71762 32 16594 631933 1863 0 650 0 0 0
1682317291.108572 cpu  71762 32 16594 631973 1863 0 650 0 0 0
1682317291.208685 cpu  71762 32 16594 632013 1863 0 650 0 0 0
1682317291.308732 cpu  71762 32 16594 632051 1864 0 650 0 0 0
1682317291.408795 cpu  71762 32 16594 632091 1864 0 650 0 0 0
1682317291.508869 cpu  71762 32 16594 632131 1864 0 650 0 0 0
1682317291.608944 cpu  71762 32 16594 632171 1864 0 650 0 0 0
1682317291.709018 cpu  71762 32 16594 632211 1864 0 650 0 0 0
1682317291.809095 cpu  71762 32 16594 632251 1864 0 650 0 0 0
1682317291.909170 cpu  71762 32 16594 632291 1864 0 650 0 0 0
1682317292.009248 cpu  71762 32 16594 632331 1864 0 650 0 0 0
1682317292.109332 cpu  71762 32 16594 632370 1864 0 650 0 0 0
1682317292.209407 cpu  71762 32 16594 632410 1864 0 650 0 0 0
1682317292.309500 cpu  71762 32 16595 632449 1864 0 650 0 0 0
1682317292.409562 cpu  71762 32 16595 632489 1864 0 650 0 0 0
1682317292.509642 cpu  71762 32 16595 632529 1864 0 650 0 0 0
1682317292.609715 cpu  71762 32 16595 632569 1864 0 650 0 0 0
1682317292.709786 cpu  71762 32 16595 632609 1864 0 650 0 0 0
1682317292.809862 cpu  71762 32 16595 632649 1864 0 650 0 0 0
1682317292.909935 cpu  71762 32 16595 632689 1864 0 650 0 0 0
1682317293.010023 cpu  71762 32 16596 632727 1865 0 650 0 0 0
1682317293.110087 cpu  71762 32 16596 632767 1865 0 650 0 0 0
1682317293.210156 cpu  71762 32 16596 632807 1865 0 650 0 0 0
1682317293.310241 cpu  71762 32 16596 632847 1865 0 650 0 0 0
1682317293.410310 cpu  71762 32 16596 632886 1865 0 650 0 0 0
1682317293.510379 cpu  71762 32 16597 632926 1865 0 650 0 0 0
1682317293.610458 cpu  71762 32 16597 632966 1865 0 650 0 0 0
1682317293.710528 cpu  71762 32 16597 633005 1865 0 650 0 0 0
1682317293.810607 cpu  71762 32 16597 633045 1865 0 650 0 0 0
