seconds cpu user nice system idle iowait irq softirq steal guest guest_nice
1682631057.158346 cpu  91208 0 5556 235862 1858 0 392 0 0 0
1682631057.656555 cpu  91296 0 5572 235955 1861 0 392 0 0 0
1682631058.156779 cpu  91372 0 5598 236051 1861 0 392 0 0 0
1682631058.656796 cpu  91463 0 5604 236154 1861 0 392 0 0 0
1682631059.156837 cpu  91492 0 5606 236318 1861 0 394 0 0 0
1682631059.656874 cpu  91492 0 5606 236518 1861 0 394 0 0 0
1682631060.157063 cpu  91548 0 5629 236640 1861 0 394 0 0 0
1682631060.657242 cpu  91637 0 5636 236743 1861 0 394 0 0 0
1682631061.157509 cpu  91695 0 5643 236875 1861 0 395 0 0 0
1682631061.657516 cpu  91764 0 5646 237002 1861 0 395 0 0 0
1682631062.157579 cpu  91832 0 5654 237123 1861 0 395 0 0 0
1682631062.657704 cpu  91910 0 5667 237232 1861 0 395 0 0 0
1682631063.157703 cpu  91996 0 5676 237337 1861 0 395 0 0 0
1682631063.657957 cpu  92053 0 5684 237471 1861 0 395 0 0 0
1682631064.158255 cpu  92145 0 5690 237573 1861 0 395 0 0 0
1682631064.658417 cpu  92195 0 5698 237713 1861 0 396 0 0 0
1682631065.158402 cpu  92269 0 5700 237837 1861 0 396 0 0 0
1682631065.658465 cpu  92338 0 5712 237958 1861 0 396 0 0 0
1682631066.158602 cpu  92406 0 5719 238079 1861 0 396 0 0 0
1682631066.658767 cpu  92499 0 5723 238181 1862 0 396 0 0 0
1682631067.158833 cpu  92543 0 5734 238325 1862 0 397 0 0 0
1682631067.659011 cpu  92611 0 5736 238456 1862 0 397 0 0 0
1682631068.159240 cpu  92678 0 5746 238579 1862 0 397 0 0 0
1682631068.659251 cpu  92765 0 5754 238684 1862 0 397 0 0 0
1682631069.159340 cpu  92849 0 5762 238792 1862 0 397 0 0 0
1682631069.659533 cpu  92918 0 5770 238913 1862 0 397 0 0 0
1682631070.159741 cpu  93010 0 5775 239016 1862 0 397 0 0 0
1682631070.660232 cpu  93054 0 5783 239163 1862 0 398 0 0 0
1682631071.160042 cpu  93124 0 5786 239290 1862 0 398 0 0 0
1682631071.660018 cpu  93193 0 5795 239409 1862 0 398 0 0 0
1682631072.160172 cpu  93265 0 5804 239528 1862 0 399 0 0 0
1682631072.660238 cpu  93361 0 5810 239625 1863 0 399 0 0 0
1682631073.160469 cpu  93399 0 5818 239778 1863 0 399 0 0 0
1682631073.660554 cpu  93467 0 5820 239908 1863 0 399 0 0 0
1682631074.160937 cpu  93535 0 5831 240028 1863 0 400 0 0 0
1682631074.660779 cpu  93616 0 5842 240135 1863 0 400 0 0 0
1682631075.160860 cpu  93700 0 5848 240242 1863 0 400 0 0 0
1682631075.660989 cpu  93776 0 5854 240362 1863 0 400 0 0 0
1682631076.161173 cpu  93870 0 5858 240465 1863 0 400 0 0 0
1682631076.661413 cpu  93911 0 5867 240613 1863 0 402 0 0 0
1682631077.161391 cpu  93978 0 5870 240743 1863 0 402 0 0 0
1682631077.661466 cpu  94045 0 5880 240867 1863 0 402 0 0 0
1682631078.161747 cpu  94064 0 5883 241044 1863 0 402 0 0 0
1682631078.661741 cpu  94138 0 5891 241161 1863 0 402 0 0 0
1682631079.161834 cpu  94216 0 5896 241278 1863 0 402 0 0 0
1682631079.661885 cpu  94216 0 5897 241476 1863 0 402 0 0 0
1682631080.162023 cpu  94290 0 5905 241594 1863 0 402 0 0 0
1682631080.662040 cpu  94386 0 5911 241692 1863 0 402 0 0 0
1682631081.162379 cpu  94408 0 5914 241864 1863 0 403 0 0 0
