seconds,cpu,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
1682631981.251571,cpu,200538,0,15389,485044,1933,0,788,0,0,0
1682631981.751493,cpu,200600,0,15415,485154,1935,0,788,0,0,0
1682631982.251852,cpu,200674,0,15423,485272,1935,0,788,0,0,0
1682631982.751796,cpu,200729,0,15426,485412,1935,0,788,0,0,0
1682631983.251793,cpu,200729,0,15426,485612,1935,0,788,0,0,0
1682631983.751986,cpu,200782,0,15436,485746,1935,0,788,0,0,0
1682631984.252061,cpu,200873,0,15438,485852,1935,0,788,0,0,0
1682631984.752193,cpu,200927,0,15442,485994,1935,0,789,0,0,0
1682631985.252266,cpu,201017,0,15444,486101,1935,0,789,0,0,0
1682631985.752478,cpu,201070,0,15454,486240,1935,0,789,0,0,0
1682631986.252421,cpu,201162,0,15456,486344,1935,0,789,0,0,0
1682631986.752532,cpu,201219,0,15458,486484,1935,0,790,0,0,0
1682631987.252616,cpu,201309,0,15460,486590,1935,0,790,0,0,0
1682631987.752745,cpu,201367,0,15461,486727,1935,0,790,0,0,0
1682631988.252829,cpu,201457,0,15464,486834,1935,0,790,0,0,0
1682631988.752965,cpu,201515,0,15465,486973,1935,0,791,0,0,0
1682631989.253046,cpu,201602,0,15466,487084,1935,0,792,0,0,0
1682631989.753245,cpu,201668,0,15467,487215,1935,0,792,0,0,0
1682631990.253314,cpu,201754,0,15469,487326,1935,0,792,0,0,0
1682631990.753507,cpu,201817,0,15472,487460,1935,0,792,0,0,0
1682631991.253531,cpu,201900,0,15476,487572,1935,0,792,0,0,0
1682631991.753679,cpu,201970,0,15478,487702,1935,0,792,0,0,0
1682631992.253785,cpu,202054,0,15479,487815,1935,0,793,0,0,0
1682631992.753908,cpu,202120,0,15481,487948,1935,0,793,0,0,0
1682631993.253955,cpu,202200,0,15484,488064,1935,0,794,0,0,0
1682631993.754041,cpu,202266,0,15488,488192,1935,0,794,0,0,0
1682631994.254117,cpu,202348,0,15492,488306,1935,0,796,0,0,0
1682631994.754248,cpu,202413,0,15494,488438,1935,0,797,0,0,0
1682631995.254332,cpu,202496,0,15494,488553,1935,0,797,0,0,0
1682631995.754491,cpu,202560,0,15495,488687,1935,0,797,0,0,0
1682631996.254529,cpu,202642,0,15499,488801,1936,0,798,0,0,0
1682631996.754658,cpu,202706,0,15501,488933,1936,0,798,0,0,0
1682631997.254739,cpu,202786,0,15505,489050,1936,0,799,0,0,0
1682631997.754860,cpu,202854,0,15507,489177,1936,0,799,0,0,0
1682631998.254981,cpu,202934,0,15509,489295,1936,0,800,0,0,0
1682631998.755049,cpu,203002,0,15510,489424,1936,0,800,0,0,0
1682631999.255127,cpu,203080,0,15512,489542,1936,0,801,0,0,0
1682631999.755328,cpu,203154,0,15513,489666,1936,0,801,0,0,0
1682632000.255322,cpu,203233,0,15517,489783,1936,0,802,0,0,0
1682632000.755495,cpu,203303,0,15518,489912,1936,0,802,0,0,0
1682632001.255526,cpu,203382,0,15520,490030,1936,0,802,0,0,0
1682632001.755720,cpu,203455,0,15522,490156,1936,0,802,0,0,0
1682632002.255719,cpu,203532,0,15526,490275,1936,0,804,0,0,0
1682632002.755865,cpu,203602,0,15529,490400,1936,0,804,0,0,0
1682632003.255987,cpu,203683,0,15532,490516,1936,0,804,0,0,0
1682632003.756069,cpu,203753,0,15532,490645,1936,0,804,0,0,0
1682632004.256149,cpu,203833,0,15536,490761,1936,0,805,0,0,0
1682632004.756260,cpu,203904,0,15536,490891,1936,0,805,0,0,0
1682632005.256361,cpu,203981,0,15539,491009,1936,0,806,0,0,0
1682632005.756523,cpu,204056,0,15540,491133,1936,0,806,0,0,0
1682632006.256559,cpu,204131,0,15543,491255,1936,0,806,0,0,0
1682632006.756688,cpu,204207,0,15544,491378,1936,0,806,0,0,0
1682632007.256757,cpu,204280,0,15545,491503,1936,0,807,0,0,0
1682632007.756869,cpu,204356,0,15547,491624,1936,0,807,0,0,0
1682632008.257072,cpu,204436,0,15549,491741,1936,0,807,0,0,0
1682632008.757428,cpu,204511,0,15550,491866,1936,0,807,0,0,0
1682632009.257373,cpu,204589,0,15553,491983,1936,0,808,0,0,0
1682632009.757541,cpu,204673,0,15554,492100,1936,0,808,0,0,0
1682632010.257634,cpu,204744,0,15558,492225,1936,0,808,0,0,0
1682632010.757812,cpu,204832,0,15558,492336,1936,0,808,0,0,0
1682632011.257935,cpu,204898,0,15562,492467,1936,0,808,0,0,0
1682632011.758080,cpu,204991,0,15562,492573,1936,0,808,0,0,0
1682632012.258221,cpu,205052,0,15565,492707,1936,0,808,0,0,0
1682632012.758430,cpu,205146,0,15565,492814,1936,0,808,0,0,0
1682632013.258524,cpu,205210,0,15570,492944,1936,0,808,0,0,0
1682632013.758693,cpu,205303,0,15570,493051,1936,0,808,0,0,0
1682632014.258793,cpu,205358,0,15573,493190,1936,0,808,0,0,0
1682632014.758972,cpu,205450,0,15573,493298,1936,0,808,0,0,0
1682632015.259761,cpu,205510,0,15578,493433,1936,0,808,0,0,0
1682632015.759558,cpu,205601,0,15579,493540,1936,0,808,0,0,0
1682632016.259645,cpu,205656,0,15582,493679,1936,0,808,0,0,0
1682632016.759769,cpu,205754,0,15582,493781,1936,0,808,0,0,0
1682632017.259882,cpu,205807,0,15588,493922,1936,0,808,0,0,0
1682632017.759985,cpu,205906,0,15589,494022,1936,0,808,0,0,0
1682632018.260097,cpu,205955,0,15593,494169,1936,0,809,0,0,0
1682632018.760178,cpu,206053,0,15594,494270,1936,0,809,0,0,0
1682632019.260297,cpu,206104,0,15598,494414,1937,0,810,0,0,0
1682632019.760397,cpu,206200,0,15601,494516,1937,0,810,0,0,0
1682632020.260598,cpu,206257,0,15602,494657,1937,0,810,0,0,0
1682632020.760664,cpu,206347,0,15604,494764,1937,0,810,0,0,0
1682632021.260790,cpu,206407,0,15606,494900,1937,0,810,0,0,0
1682632021.760905,cpu,206497,0,15608,495008,1937,0,810,0,0,0
1682632022.261037,cpu,206555,0,15611,495146,1937,0,810,0,0,0
1682632022.761103,cpu,206643,0,15613,495255,1937,0,810,0,0,0
1682632023.261350,cpu,206705,0,15614,495392,1937,0,810,0,0,0
1682632023.761306,cpu,206792,0,15616,495503,1937,0,812,0,0,0
1682632024.261431,cpu,206852,0,15618,495640,1937,0,812,0,0,0
1682632024.761512,cpu,206938,0,15623,495749,1937,0,812,0,0,0
1682632025.261642,cpu,207004,0,15625,495878,1937,0,812,0,0,0
1682632025.761710,cpu,207091,0,15628,495988,1937,0,813,0,0,0
1682632026.261855,cpu,207160,0,15630,496115,1937,0,813,0,0,0
1682632026.761928,cpu,207249,0,15631,496224,1937,0,813,0,0,0
1682632027.262079,cpu,207309,0,15633,496361,1937,0,813,0,0,0
1682632027.762131,cpu,207396,0,15635,496471,1937,0,813,0,0,0
1682632028.262257,cpu,207460,0,15637,496606,1937,0,814,0,0,0
1682632028.762333,cpu,207544,0,15640,496718,1937,0,814,0,0,0
1682632029.262470,cpu,207608,0,15644,496850,1937,0,814,0,0,0
1682632029.762543,cpu,207689,0,15649,496963,1937,0,814,0,0,0
