collection_time,amps,volts,watts
1682634896.200282,0.4057,5.338,2.165
1682634896.550933,0.4057,5.338,2.165
1682634896.860284,0.4057,5.338,2.165
1682634897.19926,0.4057,5.338,2.165
1682634897.510265,0.4131,5.338,2.205
1682634897.814177,0.4131,5.338,2.205
1682634898.175379,0.4131,5.338,2.205
1682634898.471078,0.4131,5.338,2.205
1682634898.829308,0.4056,5.338,2.165
1682634899.132963,0.4056,5.338,2.165
1682634899.492812,0.4056,5.339,2.165
1682634899.950402,0.4056,5.339,2.165
1682634900.277904,0.4055,5.339,2.164
1682634900.577076,0.4055,5.339,2.164
1682634900.93865,0.4055,5.338,2.164
1682634901.239145,0.4055,5.338,2.164
1682634901.590282,0.4054,5.338,2.164
1682634901.893119,0.4054,5.338,2.164
1682634902.28928,0.4054,5.339,2.164
1682634902.707383,0.4054,5.339,2.164
1682634903.0303,0.5822,5.339,3.108
1682634903.365675,0.5822,5.339,3.108
1682634903.694258,0.5822,5.341,3.109
1682634904.000313,0.5822,5.341,3.109
1682634904.360325,0.6667,5.341,3.56
1682634904.662532,0.6667,5.341,3.56
1682634905.012612,0.6667,5.339,3.559
1682634905.315087,0.6667,5.339,3.559
1682634905.638165,0.5243,5.339,2.799
1682634905.976583,0.5243,5.339,2.799
1682634906.335853,0.5243,5.343,2.801
1682634906.761587,0.5243,5.343,2.801
1682634907.113783,0.7775,5.343,4.154
1682634907.420409,0.7775,5.343,4.154
1682634907.778178,0.7775,5.338,4.15
1682634908.076941,0.7775,5.338,4.15
1682634908.449307,1.0676,5.338,5.698
1682634908.873198,1.0676,5.338,5.698
1682634909.325499,1.0676,5.342,5.703
1682634909.704593,1.0676,5.342,5.703
1682634910.070439,0.7999,5.342,4.273
1682634910.576438,0.7999,5.342,4.273
1682634911.035596,0.7999,5.337,4.269
1682634911.336501,0.9678,5.337,5.165
1682634911.656073,0.9678,5.337,5.165
1682634912.026593,0.9678,5.343,5.17
1682634912.301279,0.9678,5.343,5.17
1682634912.657,0.741,5.343,3.959
1682634912.95928,0.741,5.343,3.959
1682634913.359205,0.741,5.342,3.958
1682634913.76894,0.741,5.342,3.958
1682634914.134183,0.8119,5.342,4.337
1682634914.445139,0.8119,5.342,4.337
1682634914.749644,0.8119,5.342,4.337
1682634915.099069,0.8119,5.342,4.337
1682634915.403787,1.0064,5.342,5.376
1682634915.745794,1.0064,5.342,5.376
1682634916.05927,1.0064,5.343,5.377
1682634916.362592,1.0064,5.343,5.377
1682634916.725406,0.6877,5.343,3.674
1682634917.016592,0.6877,5.343,3.674
1682634917.396451,0.6877,5.349,3.678
1682634917.697991,0.6877,5.349,3.678
1682634918.05661,0.7689,5.349,4.112
1682634918.489352,0.7689,5.349,4.112
1682634918.849246,0.7689,5.34,4.105
1682634919.232923,0.7689,5.34,4.105
1682634919.627938,0.9796,5.34,5.231
1682634920.03339,0.9796,5.344,5.234
1682634920.471832,0.9796,5.344,5.234
1682634920.800387,0.7887,5.344,4.214
1682634921.104597,0.7887,5.344,4.214
1682634921.480301,0.7887,5.352,4.221
1682634921.909148,0.7887,5.352,4.221
1682634922.269558,0.6655,5.352,3.561
1682634922.57058,0.6655,5.352,3.561
1682634922.934285,0.6655,5.344,3.556
1682634923.364635,0.6655,5.344,3.556
1682634923.71801,0.817,5.344,4.366
1682634924.025884,0.817,5.344,4.366
1682634924.392884,0.817,5.352,4.372
1682634924.826592,0.817,5.352,4.372
1682634925.199377,0.6704,5.352,3.587
1682634925.481819,0.6704,5.352,3.587
1682634925.83044,0.6704,5.342,3.581
1682634926.197626,0.6704,5.342,3.581
1682634926.4874,0.9252,5.342,4.942
1682634926.793072,0.9252,5.342,4.942
1682634927.191813,0.9252,5.339,4.939
1682634927.593086,0.9252,5.339,4.939
1682634927.939276,0.7583,5.339,4.048
