collection_time,amps,volts,watts
1668151536,0.5011,5.026,2.518
1668151536,0.5007,5.026,2.516
1668151537,0.5007,5.026,2.516
1668151537,0.5007,5.026,2.516
1668151537,0.5007,5.026,2.516
1668151538,0.4994,5.026,2.509
1668151538,0.4994,5.026,2.509
1668151538,0.4994,5.026,2.509
1668151539,0.4994,5.026,2.509
1668151539,0.4998,5.026,2.511
1668151539,0.4998,5.026,2.511
1668151540,0.4998,5.026,2.511
1668151540,0.4998,5.026,2.511
1668151540,0.5001,5.026,2.513
1668151541,0.5001,5.026,2.513
1668151541,0.5001,5.026,2.513
1668151541,0.5001,5.026,2.513
1668151542,0.4997,5.026,2.511
1668151542,0.4997,5.026,2.511
1668151543,0.4997,5.026,2.511
1668151543,0.4997,5.026,2.511
1668151543,0.5009,5.026,2.517
1668151544,0.5009,5.026,2.517
1668151544,0.5009,5.026,2.517
1668151544,0.5009,5.026,2.517
1668151545,0.5012,5.026,2.519
1668151545,0.5012,5.026,2.519
1668151545,0.5012,5.026,2.519
1668151546,0.5012,5.026,2.519
1668151546,0.5009,5.026,2.517
1668151546,0.5009,5.026,2.517
1668151547,0.5009,5.016,2.512
1668151547,0.5009,5.016,2.512
1668151547,0.713,5.016,3.576
1668151548,0.713,5.016,3.576
1668151548,0.713,5.015,3.575
1668151548,0.713,5.015,3.575
1668151549,0.7093,5.015,3.557
1668151549,0.7093,5.015,3.557
1668151549,0.7093,5.014,3.556
1668151550,0.7093,5.014,3.556
1668151550,0.7189,5.014,3.604
1668151551,0.7189,5.014,3.604
1668151551,0.7189,5.014,3.604
1668151551,0.7189,5.014,3.604
1668151552,0.9913,5.014,4.97
1668151552,0.9913,5.014,4.97
1668151552,0.9913,5.014,4.97
1668151553,0.9913,5.014,4.97
1668151553,1.0147,5.014,5.087
1668151553,1.0147,5.014,5.087
1668151554,1.0147,5.016,5.089
1668151554,1.0147,5.016,5.089
1668151554,0.6528,5.016,3.274
1668151555,0.6528,5.016,3.274
1668151555,0.6528,5.025,3.28
1668151555,0.6528,5.025,3.28
1668151556,0.5176,5.025,2.6
1668151556,0.5176,5.025,2.6
1668151556,0.5176,5.016,2.596
1668151557,0.5176,5.016,2.596
1668151557,0.9925,5.016,4.978
1668151557,0.9925,5.016,4.978
1668151558,0.9925,5.016,4.978
1668151558,0.9925,5.016,4.978
1668151558,0.6545,5.016,3.282
1668151559,0.6545,5.016,3.282
1668151559,0.6545,5.015,3.282
1668151559,0.6545,5.015,3.282
1668151560,0.5186,5.015,2.6
1668151560,0.5186,5.015,2.6
1668151560,0.5186,5.025,2.605
1668151561,0.5186,5.025,2.605
1668151561,0.7069,5.025,3.552
1668151562,0.7069,5.025,3.552
1668151562,0.7069,5.014,3.544
1668151562,0.7069,5.014,3.544
