collection_time,amps,volts,watts
1668151535.745545,0.5011,5.026,2.518
1668151536.103331,0.5007,5.026,2.516
1668151536.527167,0.5007,5.026,2.516
1668151536.885806,0.5007,5.026,2.516
1668151537.189635,0.5007,5.026,2.516
1668151537.566761,0.4994,5.026,2.509
1668151538.023037,0.4994,5.026,2.509
1668151538.36956,0.4994,5.026,2.509
1668151538.680973,0.4994,5.026,2.509
1668151538.999448,0.4998,5.026,2.511
1668151539.342245,0.4998,5.026,2.511
1668151539.64497,0.4998,5.026,2.511
1668151539.958745,0.4998,5.026,2.511
1668151540.348609,0.5001,5.026,2.513
1668151540.761566,0.5001,5.026,2.513
1668151541.121729,0.5001,5.026,2.513
1668151541.417526,0.5001,5.026,2.513
1668151541.800974,0.4997,5.026,2.511
1668151542.250225,0.4997,5.026,2.511
1668151542.560219,0.4997,5.026,2.511
1668151542.914486,0.4997,5.026,2.511
1668151543.216037,0.5009,5.026,2.517
1668151543.525954,0.5009,5.026,2.517
1668151543.879679,0.5009,5.026,2.517
1668151544.209658,0.5009,5.026,2.517
1668151544.515325,0.5012,5.026,2.519
1668151544.840731,0.5012,5.026,2.519
1668151545.217689,0.5012,5.026,2.519
1668151545.672261,0.5012,5.026,2.519
1668151545.984899,0.5009,5.026,2.517
1668151546.291055,0.5009,5.026,2.517
1668151546.689611,0.5009,5.016,2.512
1668151547.123843,0.5009,5.016,2.512
1668151547.473231,0.713,5.016,3.576
1668151547.809879,0.713,5.016,3.576
1668151548.095706,0.713,5.015,3.575
1668151548.40644,0.713,5.015,3.575
1668151548.763104,0.7093,5.015,3.557
1668151549.069033,0.7093,5.015,3.557
1668151549.429906,0.7093,5.014,3.556
1668151549.73588,0.7093,5.014,3.556
1668151550.091068,0.7189,5.014,3.604
1668151550.523527,0.7189,5.014,3.604
1668151550.879936,0.7189,5.014,3.604
1668151551.187064,0.7189,5.014,3.604
1668151551.550651,0.9913,5.014,4.97
1668151552.017213,0.9913,5.014,4.97
1668151552.331222,0.9913,5.014,4.97
1668151552.626898,0.9913,5.014,4.97
1668151552.992367,1.0147,5.014,5.087
1668151553.29608,1.0147,5.014,5.087
1668151553.65829,1.0147,5.016,5.089
1668151554.094712,1.0147,5.016,5.089
1668151554.435972,0.6528,5.016,3.274
1668151554.743879,0.6528,5.016,3.274
1668151555.108267,0.6528,5.025,3.28
1668151555.414568,0.6528,5.025,3.28
1668151555.768491,0.5176,5.025,2.6
1668151556.067331,0.5176,5.025,2.6
1668151556.423482,0.5176,5.016,2.596
1668151556.729934,0.5176,5.016,2.596
1668151557.063579,0.9925,5.016,4.978
1668151557.392672,0.9925,5.016,4.978
1668151557.693835,0.9925,5.016,4.978
1668151558.012397,0.9925,5.016,4.978
1668151558.35621,0.6545,5.016,3.282
1668151558.656466,0.6545,5.016,3.282
1668151559.035956,0.6545,5.015,3.282
1668151559.319946,0.6545,5.015,3.282
1668151559.678327,0.5186,5.015,2.6
1668151560.11459,0.5186,5.015,2.6
1668151560.488576,0.5186,5.025,2.605
1668151560.952385,0.5186,5.025,2.605
1668151561.308558,0.7069,5.025,3.552
1668151561.604574,0.7069,5.025,3.552
1668151561.920989,0.7069,5.014,3.544
1668151562.263603,0.7069,5.014,3.544
1668151562.57865,0.6773,5.014,3.395
1668151562.885945,0.6773,5.014,3.395
1668151563.23477,0.6773,5.018,3.398
1668151563.537375,0.6773,5.018,3.398
1668151563.897144,0.7083,5.018,3.554
1668151564.185972,0.7083,5.018,3.554
1668151564.538624,0.7083,5.025,3.559
1668151564.857229,0.7083,5.025,3.559
1668151565.216543,0.6845,5.025,3.439
1668151565.516291,0.6845,5.025,3.439
1668151565.822492,0.6845,5.019,3.435
1668151566.133405,0.6845,5.019,3.435
1668151566.493336,0.8113,5.019,4.071
1668151566.79204,0.8113,5.019,4.071
1668151567.160854,0.8113,5.025,4.076
1668151567.462092,0.8113,5.025,4.076
1668151567.814704,0.5965,5.025,2.997
1668151568.097488,0.5965,5.025,2.997
1668151568.478619,0.5965,5.014,2.99
1668151568.919935,0.5965,5.014,2.99
1668151569.276476,0.6559,5.014,3.288
1668151569.728208,0.6559,5.014,3.288
1668151570.053896,0.6559,5.017,3.29
1668151570.388489,0.6559,5.017,3.29
1668151570.742581,0.6849,5.017,3.436
1668151571.049213,0.6849,5.017,3.436
1668151571.36765,0.6849,5.014,3.434
1668151571.700958,0.6849,5.014,3.434
1668151572.0116,0.6679,5.014,3.348
1668151572.323713,0.6679,5.014,3.348
1668151572.667673,0.6679,5.015,3.349
1668151573.005984,0.6679,5.015,3.349
1668151573.323709,0.9823,5.015,4.926
1668151573.631266,0.9823,5.015,4.926
1668151573.99486,0.9823,5.015,4.926
1668151574.473364,0.9823,5.015,4.926
1668151574.784845,0.6851,5.015,3.435
1668151575.088712,0.6851,5.015,3.435
1668151575.435834,0.6851,5.014,3.435
1668151575.743607,0.6851,5.014,3.435
1668151576.098565,0.683,5.014,3.424
1668151576.400888,0.683,5.014,3.424
1668151576.762119,0.683,5.017,3.426
1668151577.063674,0.683,5.017,3.426
1668151577.397672,0.6749,5.017,3.385
1668151577.722079,0.6749,5.017,3.385
1668151578.029837,0.6749,5.015,3.384
1668151578.383717,0.6749,5.015,3.384
1668151578.701461,0.6804,5.015,3.412
1668151579.008729,0.6804,5.015,3.412
1668151579.362331,0.6804,5.017,3.413
1668151579.648837,0.6804,5.017,3.413
1668151579.984851,0.6861,5.017,3.442
1668151580.323664,0.6861,5.017,3.442
1668151580.649876,0.6861,5.015,3.44
1668151580.949769,0.6861,5.015,3.44
1668151581.313648,0.6477,5.015,3.248
1668151581.631587,0.6477,5.015,3.248
1668151581.969812,0.6477,5.015,3.248
1668151582.34706,0.6477,5.015,3.248
1668151582.788977,0.6775,5.015,3.397
1668151583.139869,0.6775,5.017,3.399
1668151583.564743,0.6775,5.017,3.399
1668151583.918669,0.5933,5.017,2.976
1668151584.214526,0.5933,5.017,2.976
1668151584.581243,0.5933,5.015,2.975
1668151584.868498,0.5933,5.015,2.975
1668151585.234262,0.7344,5.015,3.683
1668151585.544836,0.7344,5.015,3.683
1668151585.902457,0.7344,5.015,3.683
1668151586.328676,0.7344,5.015,3.683
1668151586.687753,0.6214,5.015,3.116
1668151586.986276,0.6214,5.015,3.116
1668151587.346193,0.6214,5.015,3.116
1668151587.648687,0.6214,5.015,3.116
1668151587.973894,0.9931,5.015,4.98
1668151588.30749,0.9931,5.015,4.98
1668151588.670115,0.9931,5.014,4.979
1668151589.093344,0.9931,5.014,4.979
1668151589.470411,0.6904,5.014,3.461
1668151589.759863,0.6904,5.014,3.461
1668151590.127478,0.6904,5.014,3.461
1668151590.422661,0.6904,5.014,3.461
1668151590.741442,0.8884,5.014,4.454
1668151591.090311,0.8884,5.014,4.454
1668151591.409863,0.8884,5.014,4.454
1668151591.710247,0.8884,5.014,4.454
1668151592.099807,0.6875,5.014,3.447
1668151592.551096,0.6875,5.014,3.447
1668151592.852968,0.6875,5.015,3.447
1668151593.164785,0.6875,5.015,3.447
1668151593.514845,0.693,5.015,3.475
1668151593.821079,0.693,5.015,3.475
1668151594.179799,0.693,5.014,3.474
1668151594.48994,0.693,5.014,3.474
1668151594.838554,0.6838,5.014,3.428
1668151595.326259,0.6838,5.014,3.428
1668151595.652511,0.6838,5.014,3.428
1668151595.96181,0.6838,5.014,3.428
1668151596.289921,0.8154,5.014,4.088
1668151596.590939,0.8154,5.014,4.088
1668151596.957641,0.8154,5.014,4.088
1668151597.236259,0.8154,5.014,4.088
1668151597.581305,0.6885,5.014,3.452
1668151597.907781,0.6885,5.014,3.452
1668151598.272092,0.6885,5.014,3.452
1668151598.702475,0.6885,5.014,3.452
1668151599.071176,0.6967,5.014,3.493
1668151599.376102,0.6967,5.014,3.493
1668151599.731681,0.6967,5.015,3.493
1668151600.1612,0.6967,5.015,3.493
1668151600.513529,0.6889,5.015,3.454
1668151600.868668,0.6889,5.015,3.454
1668151601.172668,0.6889,5.016,3.455
1668151601.468975,0.6889,5.016,3.455
1668151601.828652,0.9354,5.016,4.691
1668151602.129745,0.9354,5.016,4.691
1668151602.482717,0.9354,5.018,4.693
1668151602.939941,0.9354,5.018,4.693
1668151603.306456,0.7024,5.018,3.524
1668151603.734793,0.7024,5.018,3.524
1668151604.103651,0.7024,5.021,3.526
1668151604.402296,0.7024,5.021,3.526
1668151604.775048,0.7312,5.021,3.671
1668151605.197197,0.7312,5.021,3.671
1668151605.545327,0.7312,5.017,3.668
1668151605.883496,0.7312,5.017,3.668
1668151606.212302,0.693,5.017,3.476
1668151606.518417,0.693,5.017,3.476
1668151606.871524,0.693,5.015,3.475
1668151607.191303,0.693,5.015,3.475
1668151607.513147,0.7234,5.015,3.627
1668151607.841246,0.7234,5.015,3.627
1668151608.141385,0.7234,5.016,3.628
1668151608.487491,0.7234,5.016,3.628
1668151608.793944,0.6651,5.016,3.336
1668151609.099828,0.6651,5.016,3.336
1668151609.452639,0.6651,5.021,3.339
1668151609.776349,0.6651,5.021,3.339
1668151610.095451,0.8754,5.021,4.395
1668151610.446609,0.8754,5.021,4.395
1668151610.749965,0.8754,5.02,4.394
1668151611.106505,0.8754,5.02,4.394
1668151611.409931,0.7059,5.02,3.543
1668151611.71133,0.7059,5.02,3.543
1668151612.07497,0.7059,5.022,3.545
1668151612.372422,0.7059,5.022,3.545
1668151612.733489,0.9613,5.022,4.827
1668151613.030618,0.9613,5.022,4.827
1668151613.388951,0.9613,5.021,4.826
1668151613.841273,0.9613,5.021,4.826
1668151614.203547,0.7049,5.021,3.539
1668151614.645148,0.7049,5.021,3.539
1668151615.004232,0.7049,5.017,3.536
1668151615.306681,0.7049,5.017,3.536
1668151615.667846,0.7122,5.017,3.573
1668151615.968614,0.7122,5.017,3.573
1668151616.277589,0.7122,5.015,3.571
1668151616.628733,0.7122,5.015,3.571
1668151616.961145,0.7006,5.015,3.513
1668151617.262501,0.7006,5.015,3.513
1668151617.594879,0.7006,5.015,3.513
1668151617.891298,0.7006,5.015,3.513
1668151618.246264,0.7057,5.015,3.539
1668151618.542547,0.7057,5.015,3.539
1668151618.905584,0.7057,5.016,3.539
1668151619.214913,0.7057,5.016,3.539
1668151619.571561,0.6847,5.016,3.434
1668151620.03717,0.6847,5.016,3.434
1668151620.358525,0.6847,5.017,3.435
1668151620.655996,0.6847,5.017,3.435
1668151621.016387,0.6965,5.017,3.494
1668151621.319883,0.6965,5.017,3.494
1668151621.676325,0.6965,5.017,3.494
1668151621.979858,0.6965,5.017,3.494
1668151622.334887,0.6951,5.017,3.487
1668151622.641255,0.6951,5.017,3.487
1668151622.993742,0.6951,5.021,3.49
1668151623.296467,0.6951,5.021,3.49
1668151623.60277,0.9582,5.021,4.811
1668151623.910112,0.9582,5.021,4.811
1668151624.262546,0.9582,5.018,4.808
1668151624.588928,0.9582,5.018,4.808
1668151624.930111,0.7004,5.018,3.514
1668151625.240976,0.7004,5.018,3.514
1668151625.555053,0.7004,5.021,3.516
1668151625.882844,0.7004,5.021,3.516
1668151626.206658,0.8293,5.021,4.163
1668151626.564941,0.8293,5.021,4.163
1668151626.867584,0.8293,5.022,4.164
1668151627.166792,0.8293,5.022,4.164
1668151627.533794,0.7061,5.022,3.546
1668151627.838763,0.7061,5.022,3.546
1668151628.191392,0.7061,5.022,3.546
1668151628.493225,0.7061,5.022,3.546
1668151628.855099,0.7181,5.022,3.606
1668151629.152619,0.7181,5.022,3.606
1668151629.497635,0.7181,5.021,3.605
1668151629.809329,0.7181,5.021,3.605
1668151630.115337,0.7106,5.021,3.567
1668151630.464198,0.7106,5.021,3.567
1668151630.780343,0.7106,5.02,3.567
1668151631.111602,0.7106,5.02,3.567
1668151631.428678,0.7122,5.02,3.575
