seconds cpu user nice system idle iowait irq softirq steal guest guest_nice
1668151530.629079 cpu  158367 22 6464 3238787 2204 0 467 0 0 0
1668151530.978755 cpu  158367 22 6464 3238926 2204 0 467 0 0 0
1668151531.328926 cpu  158367 22 6464 3239066 2204 0 467 0 0 0
1668151531.679007 cpu  158367 22 6464 3239205 2204 0 467 0 0 0
1668151532.029131 cpu  158367 22 6464 3239345 2204 0 467 0 0 0
1668151532.379253 cpu  158367 22 6465 3239485 2204 0 467 0 0 0
1668151532.729342 cpu  158367 22 6465 3239624 2204 0 467 0 0 0
1668151533.079459 cpu  158367 22 6466 3239764 2204 0 467 0 0 0
1668151533.429884 cpu  158368 22 6466 3239904 2204 0 467 0 0 0
1668151533.779664 cpu  158368 22 6466 3240043 2204 0 467 0 0 0
1668151534.129836 cpu  158368 22 6466 3240182 2204 0 467 0 0 0
1668151534.479920 cpu  158368 22 6467 3240322 2204 0 467 0 0 0
1668151534.830347 cpu  158368 22 6467 3240462 2204 0 467 0 0 0
1668151535.180170 cpu  158368 22 6467 3240601 2204 0 467 0 0 0
1668151535.530286 cpu  158368 22 6467 3240741 2204 0 467 0 0 0
1668151535.880684 cpu  158368 22 6467 3240881 2204 0 467 0 0 0
1668151536.230524 cpu  158368 22 6467 3241020 2204 0 467 0 0 0
1668151536.580942 cpu  158368 22 6467 3241160 2204 0 467 0 0 0
1668151536.930731 cpu  158368 22 6467 3241299 2204 0 467 0 0 0
1668151537.280827 cpu  158368 22 6467 3241439 2204 0 467 0 0 0
1668151537.631238 cpu  158368 22 6467 3241579 2204 0 467 0 0 0
1668151537.981370 cpu  158368 22 6467 3241719 2204 0 467 0 0 0
1668151538.331460 cpu  158368 22 6468 3241858 2204 0 467 0 0 0
1668151538.681275 cpu  158368 22 6468 3241998 2204 0 467 0 0 0
1668151539.031404 cpu  158368 22 6468 3242138 2204 0 467 0 0 0
1668151539.381531 cpu  158368 22 6468 3242277 2204 0 467 0 0 0
1668151539.731636 cpu  158368 22 6469 3242417 2204 0 467 0 0 0
1668151540.081723 cpu  158368 22 6469 3242556 2204 0 467 0 0 0
1668151540.431847 cpu  158368 22 6469 3242696 2204 0 467 0 0 0
1668151540.781958 cpu  158368 22 6469 3242836 2204 0 467 0 0 0
1668151541.132066 cpu  158368 22 6470 3242975 2204 0 467 0 0 0
1668151541.482182 cpu  158368 22 6470 3243115 2204 0 467 0 0 0
1668151541.832265 cpu  158368 22 6470 3243255 2204 0 467 0 0 0
1668151542.182371 cpu  158368 22 6470 3243394 2204 0 467 0 0 0
1668151542.532760 cpu  158368 22 6470 3243534 2204 0 467 0 0 0
1668151542.882610 cpu  158368 22 6470 3243674 2204 0 467 0 0 0
1668151543.232708 cpu  158368 22 6470 3243813 2204 0 467 0 0 0
1668151543.582856 cpu  158368 22 6470 3243953 2204 0 467 0 0 0
1668151543.932970 cpu  158368 22 6470 3244093 2204 0 467 0 0 0
1668151544.283076 cpu  158368 22 6471 3244232 2204 0 467 0 0 0
1668151544.633214 cpu  158368 22 6471 3244371 2204 0 467 0 0 0
1668151544.983306 cpu  158368 22 6471 3244511 2204 0 467 0 0 0
1668151545.333455 cpu  158368 22 6471 3244651 2204 0 467 0 0 0
