seconds,cpu,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
1682319448.685099,cpu,108984,32,27698,1441445,2763,0,1810,0,0,0
1682319448.784506,cpu,108984,32,27698,1441484,2763,0,1810,0,0,0
1682319448.884654,cpu,108984,32,27698,1441524,2763,0,1810,0,0,0
1682319448.984706,cpu,108984,32,27698,1441563,2763,0,1810,0,0,0
1682319449.084893,cpu,108984,32,27698,1441602,2763,0,1810,0,0,0
1682319449.184947,cpu,108984,32,27698,1441642,2763,0,1810,0,0,0
1682319449.285138,cpu,108984,32,27698,1441681,2763,0,1810,0,0,0
1682319449.385260,cpu,108984,32,27698,1441721,2763,0,1810,0,0,0
1682319449.485374,cpu,108984,32,27698,1441760,2763,0,1810,0,0,0
1682319449.585433,cpu,108984,32,27698,1441800,2763,0,1810,0,0,0
1682319449.685554,cpu,108984,32,27698,1441839,2763,0,1810,0,0,0
1682319449.785736,cpu,108984,32,27698,1441878,2763,0,1810,0,0,0
1682319449.885856,cpu,108984,32,27698,1441918,2763,0,1810,0,0,0
1682319449.985910,cpu,108984,32,27698,1441957,2763,0,1810,0,0,0
1682319450.086028,cpu,108984,32,27698,1441997,2763,0,1810,0,0,0
1682319450.186152,cpu,108984,32,27698,1442036,2763,0,1810,0,0,0
1682319450.286333,cpu,108984,32,27698,1442076,2763,0,1810,0,0,0
1682319450.386459,cpu,108984,32,27699,1442115,2763,0,1810,0,0,0
1682319450.486570,cpu,108984,32,27699,1442155,2763,0,1810,0,0,0
1682319450.586690,cpu,108984,32,27699,1442194,2763,0,1810,0,0,0
1682319450.686820,cpu,108985,32,27700,1442233,2763,0,1810,0,0,0
1682319450.787407,cpu,108985,32,27700,1442273,2763,0,1810,0,0,0
1682319450.887275,cpu,108985,32,27702,1442312,2763,0,1810,0,0,0
1682319450.987662,cpu,108986,32,27702,1442352,2763,0,1810,0,0,0
1682319451.087513,cpu,108986,32,27704,1442391,2763,0,1810,0,0,0
