collection_time,amps,volts,watts
1682322691.134925,0.3922,5.332,2.091
1682322691.43351,0.3922,5.332,2.091
1682322691.802166,0.3922,5.331,2.09
1682322692.099128,0.3922,5.331,2.09
1682322692.45317,0.4021,5.331,2.143
1682322692.756961,0.4021,5.331,2.143
1682322693.117266,0.4021,5.331,2.143
1682322693.551895,0.4021,5.331,2.143
1682322693.911856,0.3917,5.331,2.088
1682322694.213184,0.3917,5.331,2.088
1682322694.56589,0.3917,5.329,2.087
1682322694.87186,0.3917,5.329,2.087
1682322695.234342,0.4739,5.329,2.525
1682322695.528116,0.4739,5.329,2.525
1682322695.840618,0.4739,5.326,2.523
1682322696.196842,0.4739,5.326,2.523
1682322696.526722,0.7459,5.326,3.972
1682322696.808255,0.7459,5.326,3.972
1682322697.19982,0.7459,5.332,3.977
1682322697.615778,0.7459,5.332,3.977
1682322697.977932,0.5162,5.332,2.752
1682322698.279161,0.5162,5.332,2.752
1682322698.649481,0.5162,5.332,2.752
1682322699.124435,0.5162,5.332,2.752
1682322699.431919,0.5519,5.332,2.942
1682322699.732278,0.5519,5.332,2.942
1682322700.095636,0.5519,5.331,2.942
1682322700.385111,0.5519,5.331,2.942
1682322700.750621,0.548,5.331,2.921
1682322701.053304,0.548,5.331,2.921
1682322701.39581,0.548,5.331,2.921
1682322701.70706,0.548,5.331,2.921
1682322702.017356,0.4731,5.331,2.522
1682322702.354525,0.4731,5.331,2.522
1682322702.708232,0.4731,5.33,2.521
1682322703.014516,0.4731,5.33,2.521
1682322703.365722,0.5414,5.33,2.885
1682322703.712033,0.5414,5.33,2.885
1682322704.192369,0.5414,5.334,2.887
1682322704.48199,0.6332,5.334,3.377
1682322704.784544,0.6332,5.334,3.377
1682322705.126144,0.6332,5.333,3.376
1682322705.484328,0.6332,5.333,3.376
1682322705.790968,0.6477,5.333,3.454
1682322706.087582,0.6477,5.333,3.454
1682322706.450613,0.6477,5.334,3.454
1682322706.73847,0.6477,5.334,3.454
1682322707.102988,0.6683,5.334,3.564
1682322707.408155,0.6683,5.334,3.564
1682322707.732996,0.6683,5.334,3.564
1682322708.080574,0.6683,5.334,3.564
1682322708.385857,0.6686,5.334,3.566
1682322708.732626,0.6686,5.334,3.566
1682322709.108038,0.6686,5.332,3.564
1682322709.512116,0.6686,5.332,3.564
1682322709.871828,0.7224,5.332,3.851
1682322710.170967,0.7224,5.332,3.851
1682322710.527203,0.7224,5.332,3.851
1682322710.82762,0.7224,5.332,3.851
1682322711.184792,0.66,5.332,3.519
1682322711.489506,0.66,5.332,3.519
1682322711.843366,0.66,5.334,3.52
1682322712.146848,0.66,5.334,3.52
1682322712.449902,0.6255,5.334,3.336
1682322712.783134,0.6255,5.334,3.336
1682322713.107148,0.6255,5.334,3.336
1682322713.410571,0.6255,5.334,3.336
1682322713.768045,0.6908,5.334,3.684
1682322714.072127,0.6908,5.334,3.684
1682322714.42925,0.6908,5.334,3.684
1682322714.729771,0.6908,5.334,3.684
1682322715.087127,0.6771,5.334,3.611
1682322715.386862,0.6771,5.334,3.611
1682322715.744962,0.6771,5.333,3.61
1682322716.04956,0.6771,5.333,3.61
1682322716.405584,0.7322,5.333,3.904
1682322716.831872,0.7322,5.333,3.904
1682322717.18929,0.7322,5.333,3.904
1682322717.487107,0.7322,5.333,3.904
1682322717.841821,0.6904,5.333,3.681
1682322718.199412,0.6904,5.333,3.681
1682322718.513337,0.6904,5.334,3.682
1682322718.804522,0.6904,5.334,3.682
1682322719.173427,0.6732,5.334,3.59
1682322719.593767,0.6732,5.334,3.59
1682322719.979798,0.6732,5.333,3.59
1682322720.429484,0.6732,5.333,3.59
1682322720.784527,0.6706,5.333,3.576
1682322721.090862,0.6706,5.333,3.576
1682322721.394692,0.6706,5.331,3.574
1682322721.749863,0.6706,5.331,3.574
1682322722.053316,0.6951,5.331,3.705
1682322722.405623,0.6951,5.331,3.705
1682322722.70838,0.6951,5.333,3.706
1682322723.012445,0.6951,5.333,3.706
1682322723.372111,0.6381,5.333,3.402
1682322723.672249,0.6381,5.333,3.402
1682322724.03329,0.6381,5.333,3.402
1682322724.333391,0.6381,5.333,3.402
1682322724.686284,0.7293,5.333,3.889
1682322724.987501,0.7293,5.333,3.889
1682322725.353247,0.7293,5.334,3.89
1682322725.802031,0.7293,5.334,3.89
1682322726.109651,0.6847,5.334,3.652
1682322726.430653,0.6847,5.334,3.652
1682322726.771043,0.6847,5.333,3.651
1682322727.074393,0.6847,5.333,3.651
1682322727.453577,0.7028,5.333,3.748
1682322727.753551,0.7028,5.333,3.748
1682322728.113296,0.7028,5.334,3.748
1682322728.594899,0.7028,5.334,3.748
1682322728.953263,0.6747,5.334,3.598
1682322729.37018,0.6747,5.334,3.598
1682322729.730996,0.6747,5.332,3.597
1682322730.030964,0.6747,5.332,3.597
1682322730.363301,0.6636,5.332,3.538
1682322730.693458,0.6636,5.332,3.538
1682322731.023457,0.6636,5.334,3.539
1682322731.347448,0.6636,5.334,3.539
1682322731.65846,0.662,5.334,3.531
1682322731.958213,0.662,5.334,3.531
1682322732.316393,0.662,5.331,3.529
1682322732.603808,0.662,5.331,3.529
