collection_time,amps,volts,watts
1682323045.541574,0.3936,5.333,2.099
1682323045.969396,0.3936,5.332,2.098
1682323046.321615,0.3939,5.332,2.1
1682323046.632793,0.3939,5.332,2.1
1682323046.977737,0.3939,5.332,2.1
1682323047.277842,0.3939,5.332,2.1
1682323047.642742,0.4064,5.332,2.166
1682323047.941563,0.4064,5.332,2.166
1682323048.295245,0.4064,5.332,2.166
1682323048.590343,0.4064,5.332,2.166
1682323048.946465,0.3938,5.332,2.099
1682323049.246481,0.3938,5.332,2.099
1682323049.59719,0.3938,5.332,2.099
1682323049.911572,0.3938,5.332,2.099
1682323050.214349,0.4674,5.332,2.492
1682323050.563298,0.4674,5.332,2.492
1682323050.871741,0.4674,5.332,2.492
1682323051.181545,0.4674,5.332,2.492
1682323051.536973,0.4676,5.332,2.493
1682323052.037087,0.4676,5.332,2.493
1682323052.339535,0.4676,5.332,2.493
1682323052.640396,0.4676,5.332,2.493
1682323052.992861,0.4675,5.332,2.492
1682323053.312822,0.4675,5.332,2.492
1682323053.662101,0.4675,5.332,2.492
1682323053.944551,0.4675,5.332,2.492
1682323054.315356,0.4677,5.332,2.493
1682323054.628532,0.4677,5.332,2.493
1682323054.935176,0.4677,5.33,2.492
1682323055.243348,0.4677,5.33,2.492
1682323055.595409,0.4923,5.33,2.623
1682323055.898325,0.4923,5.33,2.623
1682323056.261648,0.4923,5.332,2.624
1682323056.551957,0.4923,5.332,2.624
1682323056.912105,0.4525,5.332,2.412
1682323057.214922,0.4525,5.332,2.412
1682323057.576682,0.4525,5.331,2.412
1682323057.868049,0.4525,5.331,2.412
1682323058.212232,0.4501,5.331,2.399
1682323058.534372,0.4501,5.331,2.399
1682323058.841947,0.4501,5.332,2.399
1682323059.193313,0.4501,5.332,2.399
1682323059.497924,0.4682,5.332,2.496
1682323059.84699,0.4682,5.332,2.496
1682323060.152964,0.4682,5.332,2.496
1682323060.456905,0.4682,5.332,2.496
1682323060.810402,0.4774,5.332,2.545
1682323061.116673,0.4774,5.332,2.545
1682323061.470447,0.4774,5.332,2.545
1682323061.773294,0.4774,5.332,2.545
1682323062.112953,0.468,5.332,2.495
1682323062.412341,0.468,5.332,2.495
1682323062.782979,0.468,5.332,2.495
1682323063.08418,0.468,5.332,2.495
1682323063.425506,0.4815,5.332,2.567
1682323063.913379,0.4815,5.332,2.567
1682323064.220612,0.4815,5.332,2.567
1682323064.525748,0.4815,5.332,2.567
1682323064.862981,0.4672,5.332,2.491
1682323065.209397,0.4672,5.332,2.491
1682323065.523169,0.4672,5.332,2.491
1682323065.832921,0.4672,5.332,2.491
1682323066.189262,0.4788,5.332,2.552
1682323066.48048,0.4788,5.332,2.552
1682323066.833441,0.4788,5.332,2.552
1682323067.157995,0.4788,5.332,2.552
1682323067.50794,0.4682,5.332,2.496
1682323067.939671,0.4682,5.332,2.496
1682323068.301715,0.4682,5.332,2.496
1682323068.589244,0.4682,5.332,2.496
1682323068.956121,0.4803,5.332,2.56
1682323069.258007,0.4803,5.332,2.56
1682323069.61177,0.4803,5.332,2.56
1682323069.906649,0.4803,5.332,2.56
1682323070.272317,0.4694,5.332,2.502
1682323070.574247,0.4694,5.332,2.502
1682323070.938437,0.4694,5.332,2.502
1682323071.376748,0.4694,5.332,2.502
1682323071.733414,0.4697,5.332,2.504
1682323072.03664,0.4697,5.332,2.504
1682323072.385604,0.4697,5.332,2.504
1682323072.694682,0.4697,5.332,2.504
1682323073.000578,0.4715,5.332,2.514
1682323073.303594,0.4715,5.332,2.514
1682323073.669317,0.4715,5.333,2.514
1682323073.976838,0.4715,5.333,2.514
1682323074.334958,0.467,5.333,2.49
1682323074.626854,0.467,5.333,2.49
1682323074.984721,0.467,5.332,2.49
1682323075.454309,0.467,5.332,2.49
1682323075.778045,0.4669,5.332,2.489
1682323076.07593,0.4669,5.332,2.489
1682323076.432002,0.4669,5.332,2.489
1682323076.739819,0.4669,5.332,2.489
1682323077.103096,0.4673,5.332,2.491
1682323077.553115,0.4673,5.332,2.491
1682323077.907927,0.4673,5.332,2.491
1682323078.20683,0.4673,5.332,2.491
1682323078.563159,0.4699,5.332,2.505
1682323078.879404,0.4699,5.332,2.505
1682323079.229631,0.4699,5.332,2.505
1682323079.675643,0.4699,5.332,2.505
1682323079.999394,0.4695,5.332,2.503
1682323080.335853,0.4695,5.332,2.503
1682323080.659278,0.4695,5.332,2.503
1682323080.951012,0.4695,5.332,2.503
1682323081.301022,0.4672,5.332,2.491
1682323081.619429,0.4672,5.332,2.491
1682323081.977748,0.4672,5.332,2.491
1682323082.27937,0.4672,5.332,2.491
1682323082.624394,0.4684,5.332,2.497
1682323082.931888,0.4684,5.332,2.497
1682323083.286896,0.4684,5.332,2.497
1682323083.723134,0.4684,5.332,2.497
1682323084.059145,0.4682,5.332,2.496
1682323084.384333,0.4682,5.332,2.496
