collection_time,amps,volts,watts
1682318634.504656,0.4458,5.338,2.379
1682318634.806893,0.4458,5.338,2.379
1682318635.1573,0.4607,5.338,2.459
1682318635.456992,0.4607,5.338,2.459
1682318635.816995,0.4607,5.338,2.459
1682318636.121977,0.4607,5.338,2.459
1682318636.466993,0.3891,5.338,2.077
1682318636.77025,0.3891,5.338,2.077
1682318637.085021,0.3891,5.337,2.076
1682318637.443393,0.3891,5.337,2.076
1682318637.740791,0.3891,5.337,2.076
1682318638.043509,0.3891,5.337,2.076
1682318638.402008,0.3891,5.337,2.076
1682318638.706976,0.3891,5.337,2.076
1682318639.057888,0.4609,5.337,2.459
1682318639.365855,0.4609,5.337,2.459
1682318639.719512,0.4609,5.338,2.46
1682318640.02324,0.4609,5.338,2.46
1682318640.382056,0.4606,5.338,2.458
1682318640.843333,0.4606,5.338,2.458
1682318641.154562,0.4606,5.338,2.458
1682318641.462314,0.4606,5.338,2.458
1682318641.827071,0.3905,5.338,2.084
1682318642.140928,0.3905,5.338,2.084
1682318642.449573,0.3905,5.338,2.084
1682318642.800087,0.3905,5.338,2.084
1682318643.108384,0.3906,5.338,2.085
1682318643.418899,0.3906,5.338,2.085
1682318643.76711,0.3906,5.337,2.084
1682318644.077166,0.3906,5.337,2.084
1682318644.433755,0.3889,5.337,2.075
1682318644.730962,0.3889,5.337,2.075
1682318645.102176,0.3889,5.337,2.075
1682318645.395964,0.3889,5.337,2.075
1682318645.731179,0.3901,5.337,2.081
1682318646.032391,0.3901,5.337,2.081
1682318646.359977,0.3901,5.337,2.081
1682318646.693695,0.3901,5.337,2.081
1682318647.016235,0.4607,5.337,2.458
1682318647.320936,0.4607,5.337,2.458
1682318647.676287,0.4607,5.337,2.458
1682318647.977494,0.4607,5.337,2.458
1682318648.313853,0.7638,5.337,4.076
1682318648.632501,0.7638,5.337,4.076
1682318648.993658,0.7638,5.347,4.084
1682318649.292512,0.7638,5.347,4.084
1682318649.648409,0.9439,5.347,5.047
1682318649.964803,0.9439,5.347,5.047
1682318650.309794,0.9439,5.35,5.049
1682318650.748486,0.9439,5.35,5.049
1682318651.080077,1.0004,5.35,5.352
1682318651.401074,1.0004,5.35,5.352
1682318651.753514,1.0004,5.341,5.343
1682318652.053388,1.0004,5.341,5.343
1682318652.381547,0.8666,5.341,4.628
1682318652.693043,0.8666,5.341,4.628
1682318653.043526,0.8666,5.346,4.632
1682318653.346688,0.8666,5.346,4.632
1682318653.709855,1.0973,5.346,5.866
1682318654.003602,1.0973,5.346,5.866
1682318654.363566,1.0973,5.35,5.87
1682318654.662441,1.0973,5.35,5.87
1682318655.023429,1.0567,5.35,5.653
1682318655.461003,1.0567,5.35,5.653
1682318655.798579,1.0567,5.348,5.651
1682318656.108876,1.0567,5.348,5.651
1682318656.461139,0.8513,5.348,4.552
1682318656.758844,0.8513,5.348,4.552
1682318657.120179,0.8513,5.345,4.55
1682318657.421116,0.8513,5.345,4.55
1682318657.780145,1.1267,5.345,6.022
1682318658.08237,1.1267,5.345,6.022
1682318658.419902,1.1267,5.35,6.027
1682318658.752423,1.1267,5.35,6.027
1682318659.05374,1.0431,5.35,5.58
1682318659.401184,1.0431,5.35,5.58
1682318659.704989,1.0431,5.346,5.576
1682318660.013716,1.0431,5.346,5.576
1682318660.36866,0.7163,5.346,3.829
1682318660.667316,0.7163,5.346,3.829
1682318661.023669,0.7163,5.339,3.824
1682318661.32781,0.7163,5.339,3.824
1682318661.687413,0.9215,5.339,4.919
1682318661.997487,0.9215,5.339,4.919
1682318662.340495,0.9215,5.347,4.927
1682318662.812492,0.9215,5.347,4.927
1682318663.119978,1.12,5.347,5.988
1682318663.451309,1.12,5.347,5.988
1682318663.777467,1.12,5.344,5.985
1682318664.081512,1.12,5.344,5.985
1682318664.439007,0.6998,5.344,3.739
1682318664.73751,0.6998,5.344,3.739
1682318665.100014,0.6998,5.341,3.737
1682318665.391226,0.6998,5.341,3.737
1682318665.756263,0.98,5.341,5.234
1682318666.197231,0.98,5.341,5.234
1682318666.552833,0.98,5.348,5.241
1682318666.862522,0.98,5.348,5.241
1682318667.203763,0.8772,5.348,4.691
1682318667.52526,0.8772,5.348,4.691
1682318667.835108,0.8772,5.343,4.686
1682318668.180806,0.8772,5.343,4.686
1682318668.490051,0.7395,5.343,3.951
1682318668.824083,0.7395,5.343,3.951
1682318669.151699,0.7395,5.343,3.951
1682318669.4552,0.7395,5.343,3.951
1682318669.80782,1.04,5.343,5.556
1682318670.109268,1.04,5.343,5.556
1682318670.466251,1.04,5.35,5.564
1682318670.75383,1.04,5.35,5.564
1682318671.113883,1.1102,5.35,5.939
1682318671.416314,1.1102,5.35,5.939
1682318671.776407,1.1102,5.349,5.938
1682318672.065444,1.1102,5.349,5.938
1682318672.421665,0.8593,5.349,4.596
1682318672.728164,0.8593,5.349,4.596
1682318673.08267,0.8593,5.343,4.591
1682318673.382625,0.8593,5.343,4.591
1682318673.698961,0.7581,5.343,4.05
1682318674.050628,0.7581,5.343,4.05
1682318674.351687,0.7581,5.344,4.051
1682318674.685266,0.7581,5.344,4.051
1682318675.009337,1.0184,5.344,5.442
1682318675.316347,1.0184,5.344,5.442
1682318675.672569,1.0184,5.351,5.449
1682318675.968986,1.0184,5.351,5.449
1682318676.333125,1.1308,5.351,6.05
1682318676.626987,1.1308,5.351,6.05
1682318676.985289,1.1308,5.35,6.049
1682318677.445483,1.1308,5.35,6.049
1682318677.77521,0.9121,5.35,4.879
1682318678.077706,0.9121,5.35,4.879
1682318678.431773,0.9121,5.344,4.874
1682318678.731529,0.9121,5.344,4.874
1682318679.067766,0.9874,5.344,5.276
1682318679.393069,0.9874,5.344,5.276
1682318679.736892,0.9874,5.349,5.281
1682318680.051647,0.9874,5.349,5.281
1682318680.41525,1.1281,5.349,6.034
1682318680.846588,1.1281,5.349,6.034
1682318681.198135,1.1281,5.35,6.035
1682318681.550303,1.1281,5.35,6.035
1682318681.847862,0.694,5.35,3.712
1682318682.150604,0.694,5.35,3.712
1682318682.514582,0.694,5.342,3.707
1682318682.795979,0.694,5.342,3.707
1682318683.164356,0.9704,5.342,5.183
1682318683.467837,0.9704,5.342,5.183
1682318683.824058,0.9704,5.347,5.188
1682318684.129079,0.9704,5.347,5.188
1682318684.476996,1.1391,5.347,6.09
1682318684.780333,1.1391,5.347,6.09
1682318685.092925,1.1391,5.35,6.094
1682318685.439723,1.1391,5.35,6.094
1682318685.747138,0.9953,5.35,5.324
1682318686.05047,0.9953,5.35,5.324
1682318686.402986,0.9953,5.344,5.318
1682318686.705873,0.9953,5.344,5.318
1682318687.06923,0.7048,5.344,3.766
1682318687.364142,0.7048,5.344,3.766
1682318687.727993,0.7048,5.341,3.764
1682318688.017524,0.7048,5.341,3.764
1682318688.38543,0.9413,5.341,5.027
1682318688.692936,0.9413,5.341,5.027
1682318688.999171,0.9413,5.346,5.032
1682318689.354295,0.9413,5.346,5.032
1682318689.65915,1.134,5.346,6.062
1682318689.961086,1.134,5.346,6.062
1682318690.317975,1.134,5.35,6.066
1682318690.614676,1.134,5.35,6.066
1682318690.972941,1.0296,5.35,5.508
1682318691.267998,1.0296,5.35,5.508
1682318691.623382,1.0296,5.346,5.504
1682318691.926838,1.0296,5.346,5.504
1682318692.288544,0.7291,5.346,3.897
1682318692.749256,0.7291,5.346,3.897
1682318693.089786,0.7291,5.339,3.892
1682318693.408077,0.7291,5.339,3.892
1682318693.720623,1.1391,5.339,6.081
1682318694.068641,1.1391,5.339,6.081
1682318694.369677,1.1391,5.35,6.094
1682318694.679128,1.1391,5.35,6.094
1682318695.029321,1.0006,5.35,5.353
1682318695.33349,1.0006,5.35,5.353
1682318695.688493,1.0006,5.346,5.349
1682318695.990904,1.0006,5.346,5.349
1682318696.356911,0.7187,5.346,3.842
1682318696.654388,0.7187,5.346,3.842
1682318697.02183,0.7187,5.34,3.837
1682318697.490515,0.7187,5.34,3.837
1682318697.790633,0.9637,5.34,5.146
1682318698.099236,0.9637,5.34,5.146
1682318698.456935,0.9637,5.351,5.156
1682318698.753768,0.9637,5.351,5.156
1682318699.116896,0.9682,5.351,5.18
1682318699.412466,0.9682,5.351,5.18
1682318699.736859,0.9682,5.344,5.174
1682318700.050718,0.9682,5.344,5.174
1682318700.429709,0.7165,5.344,3.828
1682318700.727154,0.7165,5.344,3.828
1682318701.085582,0.7165,5.341,3.826
1682318701.514986,0.7165,5.341,3.826
1682318701.862195,0.9466,5.341,5.055
1682318702.164788,0.9466,5.341,5.055
1682318702.524457,0.9466,5.351,5.065
1682318702.835703,0.9466,5.351,5.065
1682318703.190702,0.9745,5.351,5.214
1682318703.483608,0.9745,5.351,5.214
1682318703.841277,0.9745,5.343,5.206
1682318704.141167,0.9745,5.343,5.206
1682318704.45704,0.6973,5.343,3.725
1682318704.806199,0.6973,5.343,3.725
1682318705.110977,0.6973,5.342,3.724
1682318705.42075,0.6973,5.342,3.724
1682318705.778848,0.9917,5.342,5.297
1682318706.074766,0.9917,5.342,5.297
1682318706.429558,0.9917,5.35,5.305
1682318706.764518,0.9917,5.35,5.305
1682318707.06597,1.1367,5.35,6.081
1682318707.390791,1.1367,5.35,6.081
1682318707.729009,1.1367,5.349,6.08
1682318708.058286,1.1367,5.349,6.08
1682318708.40592,0.9017,5.349,4.823
1682318708.841071,0.9017,5.349,4.823
1682318709.200849,0.9017,5.341,4.815
1682318709.501083,0.9017,5.341,4.815
1682318709.862387,1.0449,5.341,5.58
1682318710.159821,1.0449,5.341,5.58
1682318710.520777,1.0449,5.35,5.59
1682318710.82237,1.0449,5.35,5.59
1682318711.158698,1.1102,5.35,5.939
1682318711.479505,1.1102,5.35,5.939
1682318711.784657,1.1102,5.348,5.937
1682318712.145893,1.1102,5.348,5.937
