collection_time,amps,volts,watts
1682319699.93635,0.4684,5.336,2.499
1682319700.299842,0.4631,5.336,2.471
1682319700.5986,0.4631,5.336,2.471
1682319700.951216,0.4631,5.336,2.471
1682319701.402296,0.4631,5.336,2.471
1682319701.758539,0.395,5.336,2.107
1682319702.23973,0.395,5.336,2.107
1682319702.543307,0.395,5.336,2.107
1682319702.85012,0.395,5.336,2.107
1682319703.204703,0.3923,5.336,2.093
1682319703.509034,0.3923,5.336,2.093
1682319703.864646,0.3923,5.336,2.093
1682319704.167391,0.3923,5.336,2.093
1682319704.51741,0.4627,5.336,2.468
1682319704.986038,0.4627,5.336,2.468
1682319705.315836,0.4627,5.336,2.468
1682319705.615814,0.4627,5.336,2.468
1682319705.968293,0.7873,5.336,4.201
1682319706.269783,0.7873,5.336,4.201
1682319706.629439,0.7873,5.342,4.205
1682319706.925415,0.7873,5.342,4.205
1682319707.290685,0.5341,5.342,2.853
1682319707.586078,0.5341,5.342,2.853
1682319707.944916,0.5341,5.337,2.85
1682319708.252938,0.5341,5.337,2.85
1682319708.560699,0.6053,5.337,3.23
1682319708.912182,0.6053,5.337,3.23
1682319709.242172,0.6053,5.338,3.231
1682319709.550619,0.6053,5.338,3.231
1682319709.876735,0.5466,5.338,2.917
1682319710.177217,0.5466,5.338,2.917
1682319710.533446,0.5466,5.34,2.918
1682319710.828277,0.5466,5.34,2.918
1682319711.193396,0.48,5.34,2.563
1682319711.491814,0.48,5.34,2.563
1682319711.860676,0.48,5.336,2.561
1682319712.155765,0.48,5.336,2.561
1682319712.469675,0.6565,5.336,3.503
1682319712.812239,0.6565,5.336,3.503
1682319713.169151,0.6565,5.338,3.504
1682319713.595963,0.6565,5.338,3.504
1682319713.956608,0.549,5.338,2.93
1682319714.260619,0.549,5.338,2.93
1682319714.611703,0.549,5.337,2.93
1682319714.914006,0.549,5.337,2.93
1682319715.328064,0.5727,5.337,3.056
1682319715.752807,0.5727,5.337,3.056
1682319716.053025,0.5727,5.34,3.058
1682319716.360183,0.5727,5.34,3.058
1682319716.71637,0.5759,5.34,3.075
