seconds,cpu,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
1682316105.191292,cpu,3502,32,2596,242707,1621,0,24,0,0,0
1682316105.290691,cpu,3502,32,2596,242746,1621,0,24,0,0,0
1682316105.390847,cpu,3509,32,2598,242776,1621,0,24,0,0,0
1682316105.490869,cpu,3519,32,2598,242806,1621,0,24,0,0,0
1682316105.591018,cpu,3535,32,2604,242825,1621,0,24,0,0,0
1682316105.691221,cpu,3552,32,2608,242843,1621,0,24,0,0,0
1682316105.791262,cpu,3562,32,2616,242866,1621,0,24,0,0,0
1682316105.891393,cpu,3569,32,2620,242894,1621,0,24,0,0,0
1682316105.991712,cpu,3578,32,2625,242921,1621,0,24,0,0,0
1682316106.091838,cpu,3587,32,2629,242947,1621,0,24,0,0,0
1682316106.191830,cpu,3592,32,2631,242981,1621,0,24,0,0,0
1682316106.291954,cpu,3592,32,2632,243019,1621,0,24,0,0,0
1682316106.392005,cpu,3592,32,2632,243058,1621,0,24,0,0,0
1682316106.492105,cpu,3592,32,2632,243098,1621,0,24,0,0,0
1682316106.592175,cpu,3592,32,2632,243138,1621,0,24,0,0,0
1682316106.692244,cpu,3592,32,2632,243178,1621,0,24,0,0,0
1682316106.792315,cpu,3592,32,2632,243218,1621,0,24,0,0,0
1682316106.892360,cpu,3592,32,2633,243258,1621,0,24,0,0,0
1682316106.992462,cpu,3592,32,2633,243298,1621,0,24,0,0,0
1682316107.092542,cpu,3592,32,2633,243338,1621,0,24,0,0,0
1682316107.192610,cpu,3592,32,2633,243378,1621,0,24,0,0,0
1682316107.292678,cpu,3592,32,2633,243418,1621,0,24,0,0,0
1682316107.392750,cpu,3592,32,2633,243457,1621,0,24,0,0,0
1682316107.492795,cpu,3592,32,2633,243497,1621,0,24,0,0,0
1682316107.592899,cpu,3592,32,2633,243537,1621,0,24,0,0,0
1682316107.692976,cpu,3592,32,2633,243577,1621,0,24,0,0,0
1682316107.793151,cpu,3602,32,2639,243601,1621,0,24,0,0,0
1682316107.893315,cpu,3615,32,2641,243626,1621,0,24,0,0,0
1682316107.993808,cpu,3626,32,2644,243652,1621,0,24,0,0,0
1682316108.093688,cpu,3634,32,2645,243682,1621,0,24,0,0,0
1682316108.193769,cpu,3634,32,2646,243721,1621,0,25,0,0,0
1682316108.293862,cpu,3634,32,2647,243760,1621,0,25,0,0,0
1682316108.394034,cpu,3642,32,2648,243789,1621,0,25,0,0,0
1682316108.494417,cpu,3652,32,2651,243816,1621,0,25,0,0,0
1682316108.594704,cpu,3664,32,2654,243842,1621,0,25,0,0,0
1682316108.694558,cpu,3671,32,2655,243873,1621,0,25,0,0,0
1682316108.794561,cpu,3671,32,2655,243913,1621,0,25,0,0,0
1682316108.894676,cpu,3671,32,2656,243952,1621,0,26,0,0,0
1682316108.994735,cpu,3671,32,2656,243991,1621,0,26,0,0,0
1682316109.094847,cpu,3671,32,2656,244031,1621,0,26,0,0,0
1682316109.194922,cpu,3671,32,2657,244071,1621,0,26,0,0,0
1682316109.294933,cpu,3671,32,2657,244111,1621,0,26,0,0,0
1682316109.395019,cpu,3671,32,2658,244150,1621,0,26,0,0,0
1682316109.495084,cpu,3671,32,2658,244189,1621,0,26,0,0,0
1682316109.595169,cpu,3671,32,2658,244227,1623,0,26,0,0,0
1682316109.695237,cpu,3671,32,2658,244267,1623,0,26,0,0,0
1682316109.795313,cpu,3671,32,2658,244307,1623,0,26,0,0,0
1682316109.895402,cpu,3671,32,2658,244347,1623,0,26,0,0,0
1682316109.995940,cpu,3674,32,2660,244382,1623,0,26,0,0,0
1682316110.095999,cpu,3689,32,2663,244405,1623,0,26,0,0,0
1682316110.196316,cpu,3702,32,2665,244431,1623,0,26,0,0,0
1682316110.296230,cpu,3711,32,2668,244459,1623,0,26,0,0,0
1682316110.396229,cpu,3711,32,2668,244499,1623,0,26,0,0,0
1682316110.496424,cpu,3711,32,2668,244539,1623,0,26,0,0,0
1682316110.596590,cpu,3711,32,2668,244578,1623,0,26,0,0,0
1682316110.696712,cpu,3711,32,2668,244618,1623,0,26,0,0,0
1682316110.796997,cpu,3711,32,2668,244658,1623,0,26,0,0,0
1682316110.896966,cpu,3711,32,2669,244697,1623,0,26,0,0,0
1682316110.997103,cpu,3711,32,2671,244736,1623,0,26,0,0,0
1682316111.097108,cpu,3711,32,2672,244774,1623,0,26,0,0,0
1682316111.197204,cpu,3711,32,2672,244814,1623,0,26,0,0,0
1682316111.297353,cpu,3711,32,2672,244853,1623,0,27,0,0,0
1682316111.397455,cpu,3711,32,2672,244892,1623,0,27,0,0,0
1682316111.497579,cpu,3711,32,2673,244930,1623,0,27,0,0,0
1682316111.597740,cpu,3711,32,2673,244969,1623,0,27,0,0,0
1682316111.697858,cpu,3711,32,2673,245008,1623,0,27,0,0,0
1682316111.797984,cpu,3711,32,2674,245046,1623,0,28,0,0,0
1682316111.898111,cpu,3712,32,2674,245084,1623,0,28,0,0,0
1682316112.000329,cpu,3712,32,2676,245123,1623,0,28,0,0,0
1682316112.100388,cpu,3731,32,2679,245141,1623,0,28,0,0,0
1682316112.200565,cpu,3745,32,2682,245163,1623,0,28,0,0,0
1682316112.300803,cpu,3758,32,2684,245188,1623,0,28,0,0,0
1682316112.400751,cpu,3764,32,2686,245219,1623,0,28,0,0,0
1682316112.500783,cpu,3764,32,2686,245259,1623,0,28,0,0,0
1682316112.600866,cpu,3764,32,2686,245299,1623,0,28,0,0,0
1682316112.700956,cpu,3764,32,2686,245338,1623,0,28,0,0,0
1682316112.801012,cpu,3764,32,2686,245378,1623,0,28,0,0,0
1682316112.901087,cpu,3764,32,2686,245418,1623,0,28,0,0,0
1682316113.001165,cpu,3764,32,2687,245458,1623,0,28,0,0,0
1682316113.101254,cpu,3764,32,2687,245498,1623,0,28,0,0,0
1682316113.201364,cpu,3764,32,2688,245537,1623,0,28,0,0,0
1682316113.301451,cpu,3764,32,2688,245576,1623,0,28,0,0,0
1682316113.401489,cpu,3764,32,2688,245616,1623,0,28,0,0,0
1682316113.501560,cpu,3764,32,2688,245656,1623,0,28,0,0,0
1682316113.601668,cpu,3764,32,2688,245695,1623,0,28,0,0,0
1682316113.701866,cpu,3764,32,2688,245735,1623,0,28,0,0,0
1682316113.801836,cpu,3764,32,2688,245775,1623,0,29,0,0,0
1682316113.901928,cpu,3764,32,2688,245814,1623,0,29,0,0,0
1682316114.001978,cpu,3764,32,2688,245854,1623,0,29,0,0,0
1682316114.102070,cpu,3764,32,2688,245893,1623,0,29,0,0,0
1682316114.202137,cpu,3764,32,2688,245933,1623,0,29,0,0,0
1682316114.302211,cpu,3764,32,2688,245973,1623,0,29,0,0,0
1682316114.402289,cpu,3764,32,2688,246013,1623,0,29,0,0,0
1682316114.502350,cpu,3764,32,2688,246053,1623,0,29,0,0,0
1682316114.602480,cpu,3764,32,2688,246092,1623,0,29,0,0,0
1682316114.702581,cpu,3764,32,2689,246132,1623,0,29,0,0,0
1682316114.802637,cpu,3764,32,2690,246171,1623,0,29,0,0,0
1682316114.902736,cpu,3764,32,2690,246210,1623,0,29,0,0,0
1682316115.002795,cpu,3764,32,2690,246249,1623,0,29,0,0,0
1682316115.102867,cpu,3764,32,2690,246289,1623,0,29,0,0,0
1682316115.202936,cpu,3764,32,2690,246329,1623,0,29,0,0,0
1682316115.303272,cpu,3771,32,2693,246359,1623,0,29,0,0,0
1682316115.403646,cpu,3784,32,2697,246383,1623,0,29,0,0,0
1682316115.503822,cpu,3795,32,2700,246409,1623,0,29,0,0,0
1682316115.603601,cpu,3804,32,2703,246436,1623,0,29,0,0,0
1682316115.703832,cpu,3805,32,2704,246476,1623,0,29,0,0,0
1682316115.803709,cpu,3805,32,2704,246516,1623,0,29,0,0,0
1682316115.903792,cpu,3805,32,2704,246556,1623,0,29,0,0,0
1682316116.003919,cpu,3805,32,2705,246595,1623,0,30,0,0,0
1682316116.103965,cpu,3805,32,2705,246634,1623,0,30,0,0,0
1682316116.204031,cpu,3805,32,2705,246674,1623,0,30,0,0,0
1682316116.304150,cpu,3805,32,2705,246714,1623,0,30,0,0,0
1682316116.404178,cpu,3806,32,2706,246753,1623,0,31,0,0,0
1682316116.504277,cpu,3806,32,2707,246791,1623,0,32,0,0,0
1682316116.604757,cpu,3807,32,2707,246829,1623,0,32,0,0,0
1682316116.704976,cpu,3821,32,2710,246853,1623,0,32,0,0,0
1682316116.805023,cpu,3832,32,2712,246878,1623,0,32,0,0,0
1682316116.905074,cpu,3842,32,2716,246905,1623,0,32,0,0,0
1682316117.005155,cpu,3842,32,2716,246944,1623,0,32,0,0,0
1682316117.105383,cpu,3842,32,2717,246982,1623,0,32,0,0,0
1682316117.205628,cpu,3842,32,2717,247022,1623,0,32,0,0,0
1682316117.305928,cpu,3858,32,2720,247043,1623,0,32,0,0,0
1682316117.406087,cpu,3870,32,2722,247068,1623,0,32,0,0,0
1682316117.506252,cpu,3882,32,2723,247094,1623,0,32,0,0,0
1682316117.606311,cpu,3886,32,2726,247127,1623,0,32,0,0,0
1682316117.706384,cpu,3886,32,2728,247166,1623,0,32,0,0,0
