seconds,cpu,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice
1682318727.837783,cpu,91292,32,23472,1177017,2614,0,1184,0,0,0
1682318727.937153,cpu,91293,32,23473,1177054,2614,0,1184,0,0,0
1682318728.037204,cpu,91299,32,23477,1177084,2614,0,1184,0,0,0
1682318728.137313,cpu,91309,32,23477,1177114,2614,0,1184,0,0,0
1682318728.237608,cpu,91316,32,23482,1177141,2614,0,1184,0,0,0
1682318728.337745,cpu,91341,32,23490,1177150,2614,0,1184,0,0,0
1682318728.437873,cpu,91375,32,23494,1177151,2614,0,1184,0,0,0
1682318728.538021,cpu,91405,32,23499,1177156,2614,0,1184,0,0,0
1682318728.638217,cpu,91426,32,23504,1177169,2614,0,1184,0,0,0
1682318728.738291,cpu,91433,32,23511,1177196,2614,0,1184,0,0,0
1682318728.838382,cpu,91433,32,23512,1177234,2614,0,1184,0,0,0
1682318728.938425,cpu,91433,32,23512,1177274,2614,0,1184,0,0,0
1682318729.038490,cpu,91433,32,23512,1177314,2614,0,1184,0,0,0
1682318729.138563,cpu,91433,32,23512,1177354,2614,0,1184,0,0,0
1682318729.238634,cpu,91433,32,23512,1177394,2614,0,1184,0,0,0
1682318729.338705,cpu,91433,32,23512,1177434,2614,0,1184,0,0,0
1682318729.438776,cpu,91433,32,23512,1177474,2614,0,1184,0,0,0
1682318729.538847,cpu,91433,32,23512,1177514,2614,0,1184,0,0,0
1682318729.638919,cpu,91433,32,23512,1177553,2614,0,1184,0,0,0
1682318729.738993,cpu,91433,32,23512,1177593,2614,0,1184,0,0,0
1682318729.839064,cpu,91433,32,23512,1177633,2614,0,1184,0,0,0
1682318729.939137,cpu,91433,32,23512,1177673,2614,0,1184,0,0,0
1682318730.039210,cpu,91433,32,23512,1177713,2614,0,1184,0,0,0
1682318730.139281,cpu,91433,32,23512,1177753,2614,0,1184,0,0,0
1682318730.239699,cpu,91440,32,23516,1177781,2614,0,1184,0,0,0
